"","RN","PN","Rdate"
"7704","MN061171","QDA45796","2019/03/14"
"4124","MN061123","QDA45726","2019/02/28"
"12499","MK839306","QCF42569","2019/01/28"
"4078","MK912646","QCP66947","2019/02/13"
"12501","MK928074","QCQ19714","2019/02/01"
"3406","MK927722","QCQ19192","2019/02/06"
"12489","MN078683","QDC27410","2019/04/10"
"12488","MN074938","QDC20934","2019/04/05"
"9496","MN074530","QDC20335","2019/04/05"
"4099","MN074346","QDC20062","2019/03/27"
"2027","MK960372","QCT08488","2019/03/11"
"1085","MK912462","QCP66679","2019/02/05"
"5699","MK927810","QCQ19322","2019/01/28"
"5692","MK839739","QCF43200","2019/01/24"
"5707","MK960126","QCT08121","2019/02/26"
"5694","MK869187","QCH42212","2019/01/24"
"3413","MN078507","QDC27150","2019/04/11"
"12502","MN074011","QDC19567","2019/03/26"
"6901","MN247282","QDX13017","2019/03/01"
"3312","MN372615","QEI02096","2019/04/19"
"3313","MN423662","QEI02096","2019/04/19"
"7703","MN061163","QDA45784","2019/03/14"
"3711","MN372703","QEI02228","2019/05/21"
"14180","MK745888","QBS22409","2019/01/14"
"15211","MN061227","QDA45875","2019/02/21"
"6915","MN084696","QDE07188","2019/04/14"
"12790","MN223042","QDQ45798","2019/04/26"
"1677","MN000773","QCW13408","2019/03/04"
"5605","MK363337","AZS63542","2018/10/24"
"6493","MN061155","QDA45772","2019/02/28"
"2865","MN169400","QDK57413","2019/03/18"
"14787","MN085304","QDE08100","2019/03/22"
"5827","MK633649","QBM07363","2019/01/28"
"5810","MK785807","QBZ79425","2019/01/15"
"5826","MK633641","QBM07363","2019/01/08"
"5824","MK905306","QBM07363","2019/01/04"
"3791","MN245935","QDX11102","2019/05/17"
"2870","MN078491","QDC27126","2019/04/12"
"2071","MK899170","QCO72419","2019/02/21"
"5690","MK839723","QCF43176","2019/01/17"
"4106","MN081210","QDD56791","2019/04/08"
"5806","MK576906","QBH71335","2019/01/07"
"5055","MK856889","QCG84464","2019/02/05"
"1995","MK856666","QCG84130","2019/02/28"
"8935","MN372479","QEI01895","2019/04/22"
"8759","MN247698","QDX13638","2019/03/13"
"11407","MN085099","QDE07793","2019/02/28"
"4411","MN246882","QDX12417","2019/03/16"
"6917","MN222474","QDQ44947","2019/04/01"
"10072","MN074698","QDC20582","2019/04/08"
"5688","MK785799","QBZ79413","2019/01/24"
"10074","MN078619","QDC27316","2019/04/15"
"14430","MN223237","QDQ46091","2019/03/22"
"12793","MN373135","QEI02876","2019/05/28"
"1742","MN084184","QDE06421","2019/04/05"
"11417","MN085112","QDE07812","2019/04/05"
"8982","MN222770","QDQ45390","2019/04/19"
"5701","MK927834","QCQ19357","2019/01/31"
"2977","MN084280","QDE06564","2019/03/30"
"9486","MK960748","QCT09049","2019/04/02"
"9497","MN074562","QDC20383","2019/04/05"
"10075","MN078627","QDC27328","2019/04/12"
"10370","MN074834","QDC20781","2019/04/09"
"12297","MN078675","QDC27398","2019/04/11"
"13885","MK961036","QCT09476","2019/03/28"
"12291","MK960135","QCT08130","2019/04/02"
"6924","MN423998","QEN97471","2019/04/17"
"6925","MN424006","QEN97484","2019/04/27"
