"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",15259,14341,11,1.31568586724842,0.548202444686843,0.00948515744056773,5.58333333333333,5.11666666666667,5.76415193064259,0.222222222222222,0.555555555555556,0.545454545454545,0.6,6,2,0.7,0.596666666666667,3,8.81912240536536,0.955698949528303,0.886716215183574,0.91511490877544,2.47971090638911,0.0498133182384241,0.241096712328767,9,896,113,0.0172413793103448,0.403785006341113
"2",15516,2408,24,1.52242591652149,0.944074171697683,0.00320538531709148,15.6555023923445,9.21987734487734,12.6817461290111,0.181818181818182,0.636363636363636,0.25,0.565217391304348,6,2,0.739130434782609,0.45382914187262,5,18.1105379708643,1.00045524146797,6.0213610217331,1.77979620503395,4.80909531114876,0.0291476682600837,0.208220191780822,17,7794,663,0.00460829493087558,0.357232998982003
"3",15522,2323,51,1.72152080918738,1.28770854786105,0.0135638494043408,37.3739044168392,17.2485693829734,26.5149450161127,0.0702947845804989,0.673469387755102,0.294117647058824,0.44,8,2,0.8,0.37549124265889,9,42.5406772134901,-0.820537156547797,12.957274183389,2.03340505424228,6.02359473144234,0.0651174239096659,0.435616630136986,34,64854,2849,0.00112866817155756,0.299921318986532
"4",15564,1934,10,1.70762993649092,1.13841995766062,0.00771798856332124,8,2.71785714285714,5.27745221757451,1,1,0.3,1,2,1,0.888888888888889,0.314329805996473,1,7.55583066415507,2.43610819286446,3.54662136463745,NA,NA,0.0428219216438356,0.227397260273973,10,732,89,0.0185185185185185,0.395645371234761
"5",15578,1200,18,1.32255157221928,0.667823071120628,0.00245495105986678,9.775,7.91230158730159,9.05324613461286,0.166666666666667,0.5,0.166666666666667,0.588235294117647,6,2,0.647058823529412,0.530135387488329,5,17.5885136446248,0.671767958665663,3.84978844107357,2.11125681523851,6.19105781570554,0.0269745213935397,0.18356301369863,15,3838,321,0.00649350649350649,0.361158560002349
"6",15579,1196,29,1.49836928046311,0.960493128501992,0.0225537957536012,18.268956043956,12.168228993229,14.8468675894959,0.0925925925925926,0.555555555555556,0.413793103448276,0.535714285714286,8,2,0.714285714285714,0.476630011592418,7,25.7284226339211,0.4641866630446,6.57248132101728,2.84761999658143,10.5088394730913,0.0812599208378805,0.463015068493151,19,12740,937,0.00333333333333333,0.316997263325594
"7",15624,1028,20,1.39754248593737,0.704361412912434,0.0258757344192738,8.6156862745098,9.91230158730159,10.4429789507372,0.138888888888889,0.333333333333333,0.15,0.526315789473684,6,2,0.578947368421053,0.613703052781593,7,15.6391267642917,-0.360059376965177,2.96061201944578,1.75457908812193,4.57272148066683,0.0642262063013699,0.745205479452055,13,4454,447,0.00666666666666667,0.372161272133279
"8",15644,30,16,1.296875,0.546875,0.00741178188014881,6.64957264957265,8.03333333333333,8.43853679418634,0.178571428571429,0.428571428571429,0.1875,0.466666666666667,8,4,0.533333333333333,0.653131313131313,5,12.1615307318901,0.071213853359721,0.896234098883406,1.06478109822112,3.24442835523209,0.0387735288955479,0.358904109589041,10,2418,299,0.0102040816326531,0.402917995633902
"9",15647,11,11,1.42532635618579,0.76748342256158,0.00545880046629473,6.44444444444444,4.59285714285714,5.73398823318283,0.444444444444444,0.555555555555556,0.272727272727273,0.8,4,2,0.7,0.496388888888889,3,9.1851628546532,1.39992843666113,0.886716215183574,1.01635296076414,2.72134373234826,0.0400315634552247,0.197259178082192,10,936,117,0.0163934426229508,0.411723242349431
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",15673,29,28,1.62659710705757,1.10014659108043,0.0107615439569924,16.5834410687352,11.9848956598957,14.5618970633726,0.128205128205128,0.461538461538462,0.321428571428571,0.592592592592593,8,2,0.703703703703704,0.482420263814874,8,23.4382485449341,0.0889551381374693,6.67628687748613,1.51333896119188,3.81790507738962,0.0577753606374057,0.364382465753425,18,11662,891,0.00347222222222222,0.383980270642029
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",15739,11,11,1.26086562277974,0.493382200218159,0.0122110856189987,3.09206349206349,6.28333333333333,5.76361880734692,0,0.111111111111111,0,0.6,4,2,0.4,0.715793650793651,5,8.76044456142933,0.904583691906393,-0.0439358779510338,0.91361060655294,2.78748850186231,0.054160511264576,0.312326575342466,8,868,123,0.0185185185185185,0.430110716898227
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15811,19,19,1.2557492801336,0.555427566212939,0.0193492432442044,9.25737987502693,9.67619047619048,9.71968825097024,0.117647058823529,0.411764705882353,0.631578947368421,0.444444444444444,10,4,0.666666666666667,0.617824074074074,6,16.9873773891253,-0.774100457252223,1.85709764524331,0.942790324376003,2.34496961454627,0.0770007375251394,0.465753424657534,11,3728,411,0.00793650793650794,0.38817694641736
"16",15831,13,9,1.44444444444444,0.777777777777778,0.0114449020454765,5.66666666666667,3.45,4.70600123662223,0.571428571428571,0.714285714285714,0.333333333333333,0.875,4,2,0.75,0.467708333333333,2,7.29476416050909,1.83802974668943,2.22684700773998,1.54505915047826,3.98834872228536,0.0574327143581938,0.282191232876712,8,526,71,0.0232558139534884,0.413871046495769
"17",15833,10,10,1.45464772367745,0.758946638440411,0.0226574736641321,6.33333333333333,3.95,5.14346629520339,0.3125,0.75,0.6,0.777777777777778,4,2,0.777777777777778,0.491049382716049,2,8.69594055388329,1.88329261298876,2.72981585934716,1.13615359621213,2.59712007190371,0.0811232493150685,0.430136164383562,8,684,101,0.0208333333333333,0.44539015173119
"18",15851,9,9,1.2962962962963,0.481481481481481,0.00428183501194929,5,3.91666666666667,4.47249882543357,0.285714285714286,0.714285714285714,0.666666666666667,0.625,4,2,0.625,0.598958333333333,2,9.12643685044365,0.75715635315981,0.490030400031917,0.661395868687105,1.89545565926946,0.0343650194486724,0.191780821917808,8,518,77,0.024390243902439,0.437863539671298
"19",15862,24,8,1.1932426932523,0.397747564417433,0.000619259979215815,4.33333333333333,3.58333333333333,4.23313842423914,0.5,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.597619047619048,2,5.98639006008109,1.17066792065568,0.763141944905827,0.792635170404746,2.02685924111594,0.011130211900685,0.0821924657534248,8,394,55,0.027027027027027,0.449092833272938
"20",15865,12,12,1.56365697905524,0.890081665000673,0.00186947474441336,6.76190476190476,5.09285714285714,6.22513605895032,0.3,0.6,0.5,0.727272727272727,4,2,0.727272727272727,0.515335169880624,3,10.3485608323787,0.661359334365731,1.45799536773764,1.20192695262524,3.60213679133162,0.0230214022070015,0.134245753424658,9,1102,151,0.0158730158730159,0.41249163821036
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",15901,18,10,1.45464772367745,0.758946638440411,0.00420140194083026,5.16666666666667,4.45,5.25018721076514,0.25,0.5,0.3,0.777777777777778,4,2,0.666666666666667,0.544753086419753,3,7.99038946603095,1.3594113017343,1.09620484876658,0.682645352794333,1.68343674016936,0.0344656767123288,0.208220273972603,8,660,101,0.0222222222222222,0.449694630101992
"23",15944,14,12,1.37120688932536,0.697631575270798,0.0134456296426426,6.15,5.59285714285714,6.23229017422584,0.3,0.4,0.25,0.727272727272727,4,2,0.636363636363636,0.552380952380952,4,10.0943733256323,1.03374763166292,1.45799536773764,0.98664518528648,2.16718799153079,0.0600646921613394,0.342465753424657,10,1158,147,0.0149253731343284,0.422817762680435
"24",15984,40,8,1.54679608384557,0.928077650307344,0.0379099399731983,6,2.45,4.12165533699822,1,1,0.375,1,2,1,0.857142857142857,0.370408163265306,1,6.68963387507798,2.38289392506364,2.63752566923593,1.78885438199983,4.2,0.0842892208904109,0.619178082191781,8,378,55,0.0285714285714286,0.436770287997721
"25",15987,28,28,1.19463770933274,0.573696075103291,0.00934754263738206,15.4636363636364,13.1289682539683,14.355705770625,0.0865384615384615,0.461538461538462,0.428571428571429,0.407407407407407,10,4,0.703703703703704,0.556216931216931,8,25.172932619468,-0.780306749775233,4.35662050080899,1.58256415981827,4.35911335771404,0.0532779057170813,0.413695890410959,16,10830,915,0.00398406374501992,0.346916534255318
"26",16028,12,10,1.48627050027914,0.790569415042095,0.00932829894364071,5,4.45,4.16542263119715,0.25,0.5,0.3,0.777777777777778,4,2,0.666666666666667,0.548456790123457,3,15.0385177641358,1.3594113017343,1.91301035405687,1.9807813820548,5.3629749617957,0.0517533150684931,0.293149589041096,8,666,95,0.0212765957446809,0.420315005019332
"27",16081,19,18,1.96418550329597,1.46659184246099,0.0445604966194121,14.6666666666667,4.75156232656233,9.08832621234551,0.40625,0.875,0.333333333333333,0.882352941176471,4,2,0.882352941176471,0.291830252600149,2,16.2563833728622,1.9890397620876,5.30202960641278,2.12003477491594,5.93284148036689,0.111999064772535,0.742465753424657,16,3868,313,0.00641025641025641,0.380904572349198
"28",16099,11,8,1.45840773619725,0.751300955010707,0.0462332187767418,4.33333333333333,3.28333333333333,4.14018842743771,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.525170068027211,2,6.44355347851483,1.72582983833265,1.70033380707088,0.552332481985218,1.8930862639208,0.0950771232876712,0.558903561643836,7,358,63,0.032258064516129,0.486131929592454
"29",16164,256,31,2.08573899127868,1.62224143766119,0.0271827709310806,21.0031321335669,11.5477396571437,16.1872895476,0.103448275862069,0.586206896551724,0.483870967741935,0.666666666666667,4,2,0.766666666666667,0.40587320531996,7,24.0293897415851,-0.0521010454825672,7.38876453275935,1.8943673972312,5.88630607539159,0.0655482245377959,0.879452301369863,21,15736,1025,0.00282485875706215,0.302949543585716
"30",16235,18,9,1.44444444444444,0.777777777777778,0.00316904193020162,5.66666666666667,3.45,4.75029279881391,0.571428571428571,0.714285714285714,0.333333333333333,0.875,4,2,0.75,0.467708333333333,2,6.88556963468682,1.83802974668943,2.22684700773998,2.04124145231932,5.16666666666667,0.0300355555555555,0.161643835616438,8,526,71,0.0232558139534884,0.413871046495769
"31",16261,18,17,1.11281051487259,0.342403235345411,0.0130320011371033,6.20606060606061,9.45,8.75096464342447,0.133333333333333,0.333333333333333,0.352941176470588,0.375,8,2,0.5,0.710376602564103,6,14.9416039453823,-0.249067107179885,2.08006444774195,0.78284392297984,2.10653967609489,0.061070243162535,0.460273698630137,10,2812,327,0.00934579439252336,0.394527546044453
