"","root_node_id","min_hamming_distance","max_hamming_distance","median_hamming_distance","min_gc_content","max_gc_content","mean_gc_content"
"15259",15259,1,57,5.5,0.422631220177232,0.427053824362606,0.424115511804404
"15516",15516,1,41,32,0.425399028452464,0.429078014184397,0.427417638603839
"15522",15522,1,56,32,0.424011103400416,0.430496453900709,0.427042280793378
"15564",15564,2,9,4,0.423317140874393,0.426786953504511,0.425581101375958
"15578",15578,1,49,18,0.424346629986245,0.429787234042553,0.426555333427302
"15579",15579,1,53,15.5,0.424305555555556,0.431914893617021,0.426775941908537
"15624",15624,1,43,8,0.421344421344421,0.426950354609929,0.423916912492177
"15644",15644,1,37,30,0.425399028452464,0.430496453900709,0.428093812021083
"15647",15647,1,37,7,0.427380125086866,0.429787234042553,0.428878851053973
"15673",15673,1,37,32,0.425399028452464,0.430496453900709,0.427698468722614
"15739",15739,1,34,3,0.425399028452464,0.430496453900709,0.426821194613951
"15811",15811,2,39,13.5,0.42470506592644,0.429787234042553,0.426756468186664
"15831",15831,1,39,7.5,0.426786953504511,0.429787234042553,0.428503341847909
"15833",15833,1,39,34,0.426092990978487,0.431914893617021,0.428298765281062
"15851",15851,1,35,6,0.424011103400416,0.427659574468085,0.425608151814271
"15862",15862,2,33,32,0.42470506592644,0.427659574468085,0.426152543791004
"15865",15865,1,34,31.5,0.425399028452464,0.429078014184397,0.427057402020858
"15901",15901,1,18,15.5,0.424011103400416,0.426116838487972,0.425271110411584
"15944",15944,1,39,19,0.422623178348369,0.426950354609929,0.424288414981935
"15984",15984,1,55,21,0.423317140874393,0.428368794326241,0.426431324076281
"15987",15987,1,40,31,0.423317140874393,0.428368794326241,0.425760864678579
"16028",16028,1,35,32,0.42470506592644,0.427659574468085,0.426034340481311
"16081",16081,2,48,25,0.422623178348369,0.427659574468085,0.425444413286132
"16099",16099,2,6,6,0.422623178348369,0.425399028452464,0.424011103400416
"16164",16164,1,43,7.5,0.423023578363384,0.425531914893617,0.424131892526852
"16235",16235,2,29,29,0.42470506592644,0.427681660899654,0.42615990593486
"16261",16261,1,38,4,0.42470506592644,0.427659574468085,0.425855087335922
"16284",16284,1,42,7,0.424410540915395,0.430496453900709,0.425841530379185
"16331",16331,3,47,29,0.42371705963939,0.427659574468085,0.425296550868833
"16341",16341,3,3,3,0.42470506592644,0.426786953504511,0.425399028452464
"16355",16355,1,19,6,0.422037422037422,0.426195426195426,0.423772719889225
"16401",16401,0,0,0,0.42371705963939,0.42371705963939,0.42371705963939
"16422",16422,1,18,5.5,0.422730422730423,0.425429553264605,0.423606176357653
"16435",16435,1,8,4,0.420249653259362,0.422730422730423,0.421495095351447
"16439",16439,35,35,35,0.422695035460993,0.423317140874393,0.423006088167693
"16459",16459,1,6,3,0.420249653259362,0.422330097087379,0.421107401208194
"16484",16484,1,6,4,0.420651420651421,0.421344421344421,0.42102347287258
"16492",16492,2,25,6,0.420651420651421,0.424011103400416,0.422271739569598
"16494",16494,2,23,6.5,0.420651420651421,0.424011103400416,0.42254930957221
