,subtree,WHO_max,percent_common,pred
0,13311,3c2.A,0.4774590163934426,1.0
1,13312,3c2.A,0.4758522727272727,1.0
2,13314,3c2.A,0.47514619883040937,1.0
3,13404,3c2.A,0.5,1.0
4,13405,3c2.A,0.5,1.0
5,13459,3c2.A,0.5,1.0
6,13487,3c2.A,0.5,0.0
7,13518,A1b/135N,0.5,1.0
8,13534,3c2.A,0.5,1.0
9,13543,3c2.A,0.5,0.0
10,13563,3c2.A,0.5,0.0
11,13590,3c2.A,0.4878048780487805,0.0
12,13612,A1,0.5,1.0
13,13656,3c2.A,0.5,0.0
14,13666,A1b,0.4956140350877193,1.0
15,13694,3c2.A,0.5,0.0
16,13709,A1b,0.5,1.0
17,13714,A1b,0.5,0.0
18,13715,A1b,0.5,1.0
19,13741,3c2.A,0.5,0.0
20,13780,A1b,0.5,1.0
21,13811,3c2.A,0.45454545454545453,0.0
22,13827,A1,0.5,0.0
23,13845,A1,0.5,1.0
24,13846,A1,0.5,0.0
25,13882,3c2.A,0.5,0.0
26,13928,A1,0.5,1.0
27,13929,A1,0.5,0.0
28,13981,3c2.A,0.5,0.0
29,14005,3c2.A,0.5,0.0
30,14041,3c2.A,0.5,0.0
31,14051,3c2.A,0.5,1.0
32,14071,3c2.A,0.6521739130434783,1.0
33,14075,3c2.A,0.8888888888888888,0.0
34,14141,3c2.A,0.4945054945054945,0.0
35,14239,3c2.A,0.5087719298245614,0.0
36,14240,3c2.A,0.509090909090909,1.0
37,14243,3c2.A,0.5111111111111111,1.0
38,14268,3c2.A,0.42857142857142855,0.0
39,14314,A1a,0.5,1.0
40,14431,3c2.A,0.4835164835164835,1.0
41,14493,A1a,0.5,1.0
42,14511,A1a,0.5,1.0
43,14522,3c2.A,0.5,1.0
44,14544,3c2.A,0.5,1.0
45,14552,A1,0.5,1.0
46,14553,A1,0.5,1.0
47,14617,3c2.A,0.5,0.0
48,14701,A1,0.5,1.0
49,14702,A1,0.5,0.0
50,14710,A1,0.5,1.0
51,14712,3c2.A,0.5,0.0
52,14760,3c2.A,0.5,1.0
53,14848,A1,0.5,1.0
54,14849,A1,0.5,1.0
55,14855,3c2.A,0.5,1.0
56,14859,3c2.A,0.5,0.0
57,14877,3c2.A,0.5,0.0
58,14914,A1,0.5,1.0
59,14936,3c2.A,0.8888888888888888,0.0
60,14947,3c2.A,0.47846700908731726,1.0
61,14953,3c2.A,0.4761459307764266,1.0
62,14969,A2/re,0.4902398215281651,1.0
63,14975,A2/re,0.4925280199252802,1.0
64,14990,A2/re,0.49738675958188155,1.0
65,14991,A2/re,0.4973821989528796,1.0
66,14993,A2/re,0.4972067039106145,1.0
67,15020,A2/re,0.49818840579710144,1.0
68,15454,A2/re,0.5,0.0
69,15532,3c2.A,0.5,0.0
70,15566,A2/re,0.5,0.0
71,15606,3c2.A,0.4818181818181818,1.0
72,15608,3c2.A,0.4827586206896552,0.0
73,15637,A2/re,0.5,1.0
74,15663,3c2.A,0.5,1.0
75,15669,3c2.A,0.5,1.0
76,15685,3c2.A,0.5,0.0
77,15788,A2/re,0.5,0.0
78,15789,A2/re,0.5,0.0
79,15794,A2/re,0.5,0.0
80,15820,3c2.A,0.5,0.0
81,15917,A2,0.5,0.0
82,15929,A2,0.49019607843137253,0.0
83,15970,A2,0.5,1.0
84,15992,3c2.A,0.5,0.0
85,16048,3c2.A,0.5,0.0
86,16056,3c2.A,0.5,1.0
87,16106,A2,0.4975609756097561,1.0
88,16313,3c2.A,1.0,0.0
89,17012,3c2,0.5016949152542373,1.0
90,17013,3c2,0.5017064846416383,1.0
91,17025,3c2,0.5056179775280899,1.0
92,17036,3c2,0.5098039215686274,1.0
93,17106,3c2,0.5,1.0
94,17164,3c2,0.5,1.0
95,17182,3c2,0.5,0.0
96,17201,A3,0.5,1.0
97,17413,3c2.A,0.9452054794520548,0.0
98,17416,3c2.A,0.9183673469387755,1.0
99,17418,3c2.A,0.8928571428571429,0.0
100,17532,3c2.A,1.0,0.0
101,17786,3c2.A,1.0,0.0
102,18410,3c2,0.5098039215686274,0.0
103,19878,3c3.A,0.9795918367346939,0.0
104,19895,3c3.A,0.9722222222222222,1.0
105,19901,3c3.A,1.0,0.0
106,19994,3c3.A,0.9803921568627451,0.0
107,20099,3c3.A,1.0,0.0
108,20104,3c3.A,1.0,0.0
109,20109,3c3.A,1.0,0.0
110,20176,3c3.A,0.9936305732484076,1.0
111,20177,3c3.A,0.9929078014184397,1.0
112,20180,3c3.A,0.9913793103448276,1.0
113,20183,3c3.A,0.9873417721518988,1.0
114,20189,3c3.A,0.9861111111111112,1.0
115,20197,3c3.A,1.0,1.0
116,20198,3c3.A,1.0,0.0
117,20270,3c3.A,1.0,0.0
118,20318,3c3.A,1.0,1.0
119,20336,3c3.A,1.0,0.0
