CY083910,A/Aalborg/INS132/2009,2009-11-23
CY063606,A/Aalborg/INS133/2009,2009-12-02
CY083776,A/Aalborg/INS282/2009,2009-11-25
CY073725,A/Aalborg/INS283/2009,2009-12-07
CY062691,A/Aarhus/INS116/2009,2009-11-24
CY066935,A/Aarhus/INS236/2009,2009-11-19
CY066943,A/Aarhus/INS237/2009,2009-11-23
CY066951,A/Aarhus/INS238/2009,2009-11-24
CY083761,A/Aarhus/INS239/2009,2009-11-25
CY066959,A/Aarhus/INS240/2009,2009-11-26
CY066967,A/Aarhus/INS241/2009,2009-11-26
CY066975,A/Aarhus/INS242/2009,2009-11-24
CY067039,A/Aarhus/INS252/2009,2009-11-21
CY067047,A/Aarhus/INS253/2009,2009-11-22
CY067055,A/Aarhus/INS254/2009,2009-11-28
CY176570,A/Aarhus/INS3,2011-01-25
CY176578,A/Aarhus/INS3,2011-01-14
CY176586,A/Aarhus/INS3,2011-02-07
CY129910,A/Aarhus/INS609/2011,2011-01-25
CY129918,A/Aarhus/INS610/2011,2011-01-21
CY129926,A/Aarhus/INS612/2011,2011-01-19
CY129934,A/Aarhus/INS613/2011,2011-01-20
CY129546,A/Aarhus/INS614/2011,2011-01-13
CY129942,A/Aarhus/INS615/2011,2011-02-04
CY056947,A/Aarhus/INS82/2009,2009-11-20
KX088384,A/Adana/01/2015,2015-12-11
KX214551,A/Adana/07/2015,2015-12-30
KX097043,A/Adana/08/2015,2015-01-31
KX214552,A/Adana/09/2015,2015-12-31
KX097044,A/Adana/11/2016,2016-01-04
KX097045,A/Adana/12/2016,2016-01-04
KX097048,A/Adana/15/2016,2016-01-04
CY071818,A/Addis Ababa/WR2848N/2009,2009-12-01
CY071826,A/Addis Ababa/WR2848T/2009,2009-12-01
CY062399,A/Afghanistan/N10782/2009,2009-09-12
CY062400,A/Afghanistan/N10786/2009,2009-09-07
CY062406,A/Afghanistan/N11216/2009,2009-10-16
CY062407,A/Afghanistan/N11219/2009,2009-10-14
KY328765,A/Ahvaz/106899/2015,2015-04-09
GU014772,A/Aichi/198/2009,2009-06-15
KC780620,A/Alabama/01/2010,2010-01-04
KC781903,A/Alabama/01/2010,2010-01-04
KY044687,A/Alabama/01/2016,2016-01-11
KX005849,A/Alabama/01/2016,2016-01-11
MH083301,A/Alabama/01/2018,2018-01-02
GQ894929,A/Alabama/02/2009,2009-04-27
KC882232,A/Alabama/02/2011,2011-01-04
KM409214,A/Alabama/02/2014,2014-01-14
KC781169,A/Alabama/03/2010,2010-03-01
MK630770,A/Alabama/03/2019,2019-01-02
KC781129,A/Alabama/04/2009,2009-11-02
KC781175,A/Alabama/04/2010,2010-03-15
KF647918,A/Alabama/04/2013,2013-02-25
CY220911,A/Alabama/05/2017,2017-01-30
MH125602,A/Alabama/05/2018,2018-01-12
KC781192,A/Alabama/06/2010,2010-07-19
KC891425,A/Alabama/06/2012,2012-03-19
MK630778,A/Alabama/06/2019,2019-01-19
KX409707,A/Alabama/07/2016,2016-03-10
KC780614,A/Alabama/08/2009,2009-12-04
MH125618,A/Alabama/08/2018,2018-01-15
KX411307,A/Alabama/11/2016,2016-04-05
MH125634,A/Alabama/11/2018,2018-01-18
KX411859,A/Alabama/12/2016,2016-05-09
MH125642,A/Alabama/12/2018,2018-01-18
KU589370,A/Alabama/13/2015,2015-12-02
KC881637,A/Alabama/14/2010,2010-12-28
KT274563,A/Alabama/16/2013,2013-12-01
MH125658,A/Alabama/16/2018,2018-02-05
MH183453,A/Alabama/17/2018,2018-02-08
MK855605,A/Alabama/17/2019,2019-03-10
MH183461,A/Alabama/19/2018,2018-02-10
MK999442,A/Alabama/19/2019,2019-03-20
CY256517,A/Alabama/22/2017,2017-10-09
MH245901,A/Alabama/22/2018,2018-02-24
MH601194,A/Alabama/27/2018,2018-02-11
CY263247,A/Alabama/28/2017,2017-11-14
MH601202,A/Alabama/29/2018,2018-02-13
MH601218,A/Alabama/32/2018,2018-02-19
MK245926,A/Alabama/33/2018,2018-10-02
CY147209,A/Alabama/3317/2013,2013-04-19
MH083317,A/Alabama/34/2017,2017-12-15
MK265658,A/Alabama/34/2018,2018-10-17
MK364067,A/Alabama/35/2018,2018-10-23
MK556833,A/Alabama/35/2018,2018-10-23
CY187193,A/Alabama/3525/2013,2013-12-17
MK398822,A/Alabama/36/2018,2018-11-06
CY187634,A/Alabama/3716/2014,2014-02-06
CY187635,A/Alabama/3717/2014,2014-02-27
CY187636,A/Alabama/3718/2014,2014-03-19
MK475542,A/Alabama/40/2018,2018-12-01
MK626037,A/Alabama/42/2018,2018-12-11
MK556846,A/Alabama/45/2018,2018-12-30
CY208195,A/Alabama/4962/2016,2016-02-03
CY208196,A/Alabama/4963/2016,2016-02-08
CY208197,A/Alabama/4964/2016,2016-02-09
CY208227,A/Alabama/4994/2016,2016-02-11
CY208228,A/Alabama/4995/2016,2016-02-19
CY208229,A/Alabama/4996/2016,2016-02-22
CY208284,A/Alabama/5051/2016,2016-02-17
CY208333,A/Alabama/5100/2016,2016-03-07
CY208334,A/Alabama/5101/2016,2016-03-04
CY208418,A/Alabama/5185/2016,2016-02-26
CY209761,A/Alabama/5276/2016,2016-03-10
CY209843,A/Alabama/5358/2016,2016-03-22
CY209844,A/Alabama/5359/2016,2016-03-24
CY210002,A/Alabama/5431/2016,2016-03-09
MH885169,A/Alabama/6755/2018,2018-01-26
CY100844,A/Alabama/WRAIR1235P/2009,2009-04-01
CY072075,A/Alagoas/119/2010,2010-03-10
CY072077,A/Alagoas/143/2010,2010-03-13
CY072078,A/Alagoas/166/2010,2010-03-22
CY072079,A/Alagoas/171/2010,2010-03-24
CY072080,A/Alagoas/201/2010,2010-03-26
CY072081,A/Alagoas/266/2010,2010-03-31
CY072082,A/Alagoas/96/2010,2010-03-02
GQ476139,A/Alaska/01/2009,2009-01-29
KC891337,A/Alaska/01/2012,2012-03-14
MH125667,A/Alaska/01/2018,2018-01-02
GQ476017,A/Alaska/02/2009,2009-03-10
KC882281,A/Alaska/02/2011,2011-01-14
KC882298,A/Alaska/02/2011,2011-01-14
KT274362,A/Alaska/02/2014,2014-01-14
MK630786,A/Alaska/02/2019,2019-01-07
GQ476055,A/Alaska/03/2009,2009-03-20
KM409104,A/Alaska/03/2014,2014-02-01
KX406251,A/Alaska/03/2016,2016-01-18
MH125584,A/Alaska/03/2018,2018-01-21
MH183469,A/Alaska/05/2018,2018-02-02
KM408937,A/Alaska/07/2013,2013-06-23
KM409187,A/Alaska/07/2014,2014-04-18
KX406971,A/Alaska/07/2016,2016-01-30
CY222109,A/Alaska/07/2017,2017-02-13
MH183477,A/Alaska/07/2018,2018-02-08
KC881746,A/Alaska/08/2011,2011-01-14
KT274322,A/Alaska/08/2013,2013-10-14
KX407667,A/Alaska/08/2016,2016-02-07
MK715706,A/Alaska/08/2019,2019-01-22
KC881955,A/Alaska/09/2011,2011-02-06
