name	nbCladesAll	nbCladesSpec	cladesAll	cladesSpec
CY056683_A/New York/6257/2009_2009/11/15	1	1	4	4
CY071359_A/Bangkok/INS428/2010_2010/03/04	1	1	4	4
CY096250_A/Melbourne/INS472/2010_2010/08/26	1	1	4	4
CY092654_A/Sydney/DD3-39/2010_2010/07/30	1	1	4	4
CY096274_A/Melbourne/INS475/2010_2010/08/31	1	1	4	4
CY096282_A/North Fitzroy/INS476/2010_2010/09/01	1	1	4	4
CY092726_A/Sydney/DD3-53/2010_2010/10/11	1	1	4	4
CY096218_A/Melbourne/INS467/2010_2010/08/23	1	1	4	4
CY092614_A/Sydney/DD3-31/2010_2010/10/07	1	1	4	4
CY092832_A/Sydney/DD3-49/2010_2010/09/19	1	1	4	4
CY092686_A/Sydney/DD3-45/2010_2010/09/14	1	1	4	4
CY093141_A/Sydney/DD3-20/2010_2010/08/03	1	1	4	4
CY096298_A/Bangkok/INS478/2010_2010/08/11	1	1	3	3
CY098138_A/Bangkok/INS490/2010_2010/08/20	1	1	3	3
CY096426_A/Bangkok/INS500/2010_2010/08/24	1	1	3	3
CY096402_A/Bangkok/INS497/2010_2010/08/24	1	1	3	3
CY096362_A/Bangkok/INS491/2010_2010/08/20	1	1	3	3
CY096466_A/Bangkok/INS506/2010_2010/08/27	1	1	3	3
CY092888_A/South Carolina/NHRC0001/2011_2011/01/25	1	1	3	3
CY111206_A/Boston/DOA14/2011_2011/01/19	1	1	3	3
CY092840_A/Sydney/DD3-55/2010_2010/09/14	1	1	3	3
CY098114_A/Bangkok/INS486/2010_2010/08/18	1	1	4	4
CY096418_A/Bangkok/INS499/2010_2010/08/24	1	1	4	4
CY096234_A/North Fitzroy/INS469/2010_2010/08/23	1	1	4	4
CY092454_A/Sydney/DD3-04/2010_2010/07/13	1	1	4	4
CY092462_A/Sydney/DD3-05/2010_2010/08/12	1	1	4	4
CY092470_A/Sydney/DD3-06/2010_2010/08/10	1	1	4	4
CY092510_A/Sydney/DD3-12/2010_2010/08/27	1	1	4	4
CY092606_A/Sydney/DD3-30/2010_2010/10/03	1	1	4	4
CY092518_A/Sydney/DD3-13/2010_2010/08/30	1	1	4	4
JX309327_A/Singapore/GP1577/2010_2010/04/26	1	1	4	4
CY096266_A/North Fitzroy/INS474/2010_2010/08/31	1	1	4	4
CY092646_A/Sydney/DD3-38/2010_2010/07/03	1	1	4	4
CY093189_A/Chile/106/2010_2010/08/24	1	1	4	4
CY093197_A/Chile/109/2010_2010/08/25	1	1	4	4
CY092968_A/Chile/23/2010_2010/07/17	1	1	4	4
CY093157_A/Chile/61/2010_2010/08/11	1	1	4	4
CY093032_A/Chile/71/2010_2010/08/16	1	1	4	4
CY093048_A/Chile/78/2010_2010/08/17	1	1	4	4
CY098090_A/Chile/89/2010_2010/08/19	1	1	4	4
CY092574_A/Sydney/DD3-22/2010_2010/09/17	1	1	4	4
CY092494_A/Sydney/DD3-09/2010_2010/08/31	1	1	4	4
CY092526_A/Sydney/DD3-14/2010_2010/09/13	1	1	4	4
CY092662_A/Sydney/DD3-41/2010_2010/08/26	1	1	4	4
CY093024_A/Chile/58/2010_2010/08/10	1	1	4	4
CY092824_A/Sydney/DD3-40/2010_2010/08/24	1	1	4	4
CY098170_A/Chile/70/2010_2010/08/16	1	1	4	4
CY092816_A/Sydney/DD3-24/2010_2010/10/06	1	1	4	4
CY092992_A/Chile/34/2010_2010/07/28	1	1	4	4
JQ624640_A/Sydney/SB1/2010_2010/09/09	1	1	4	4
JX309537_A/Singapore/SS33/2010_2010/06/03	1	1	4	4
CY096577_A/North Fitzroy/INS529/2010_2010/09/01	1	1	4	4
CY092502_A/Sydney/DD3-10/2010_2010/07/21	1	1	4	4
JX309378_A/Singapore/TT139/2010_2010/04/09	1	1	4	4
JX309386_A/Singapore/GP1142/2010_2010/04/07	1	1	4	4
JX309330_A/Singapore/GP1430/2010_2010/04/20	1	1	4	4
JX309364_A/Singapore/KK126/2010_2010/04/07	1	1	4	4
JX309547_A/Singapore/EN87/2010_2010/06/07	1	1	4	4
JX309190_A/Singapore/TT114/2010_2010/02/25	1	1	4	4
JX309694_A/Singapore/SS37/2010_2010/07/05	1	1	4	4
JX309465_A/Singapore/GP2170/2010_2010/05/12	1	1	4	4
JX309719_A/Singapore/SS40/2010_2010/07/05	1	1	4	4
JX309711_A/Singapore/SS38/2010_2010/07/05	1	1	4	4
JX309723_A/Singapore/SS41/2010_2010/07/05	1	1	4	4
JX309715_A/Singapore/SS39/2010_2010/07/05	1	1	4	4
JX309744_A/Singapore/GP3713/2010_2010/08/03	1	1	4	4
CY096322_A/Bangkok/INS481/2010_2010/08/12	1	1	4	4
CY096258_A/North Fitzroy/INS473/2010_2010/08/30	1	1	4	4
JN603276_A/Philippines/TMC10-41/2010_2010/07/04	1	1	4	4
JX309517_A/Singapore/SS36/2010_2010/06/14	1	1	4	4
JX309509_A/Singapore/TT344/2010_2010/06/11	1	1	4	4
JX309557_A/Singapore/GP2875/2010_2010/06/03	1	1	4	4
JX309555_A/Singapore/GP2879/2010_2010/06/03	1	1	4	4
JX309727_A/Singapore/TT405/2010_2010/07/05	1	1	4	4
JX309262_A/Singapore/GP965/2010_2010/03/24	1	1	4	4
CY081085_A/Ontario/741328/2010_2010/11/23	1	1	3	3
CY081101_A/Ontario/804635/2010_2010/12/14	1	1	3	3
CY080590_A/Tunisia/422/2011_2011/01/07	1	1	3	3
JX309106_A/Singapore/GP205/2010_2010/01/13	1	1	4	4
JX309395_A/Singapore/GP185/2010_2010/05/04	1	1	4	4
JX309277_A/Singapore/TT128/2010_2010/03/30	1	1	4	4
JX309459_A/Singapore/GP1889/2010_2010/05/04	1	1	4	4
JX309196_A/Singapore/GP784/2010_2010/02/24	1	1	4	4
JX309383_A/Singapore/KK147/2010_2010/04/16	1	1	4	4
JX309476_A/Singapore/TT255/2010_2010/05/24	1	1	4	4
JX309513_A/Singapore/TT340/2010_2010/06/09	1	1	4	4
CY063840_A/Singapore/GP999/2010_2010/02/26	1	1	4	4
CY100530_A/Mexico City/INER10/2010_2010/02/09	1	1	2	2
CY100538_A/Mexico City/INER11/2010_2010/02/09	1	1	2	2
JX309438_A/Singapore/CC02/2010_2010/05/14	1	1	4	4
JX309542_A/Singapore/EN103/2010_2010/06/03	1	1	4	4
JX309674_A/Singapore/GP3693/2010_2010/07/30	1	1	4	4
JX309595_A/Singapore/KK439/2010_2010/06/22	1	1	4	4
JX309599_A/Singapore/KK441/2010_2010/06/22	1	1	4	4
JX309582_A/Singapore/KK444/2010_2010/06/24	1	1	4	4
JX309214_A/Singapore/GP1003/2010_2010/03/26	1	1	4	4
JX309311_A/Singapore/GP1162/2010_2010/04/08	1	1	4	4
JX309253_A/Singapore/GP937/2010_2010/03/19	1	1	4	4
JX309467_A/Singapore/GP2065/2010_2010/05/10	1	1	4	4
JX309461_A/Singapore/GP2432/2010_2010/05/19	1	1	4	4
JX309323_A/Singapore/GP1545/2010_2010/04/23	1	1	4	4
JX309699_A/Singapore/TT418/2010_2010/07/19	1	1	4	4
JX309549_A/Singapore/EN88/2010_2010/06/07	1	1	4	4
JX309488_A/Singapore/KK315/2010_2010/05/24	1	1	4	4
JX309522_A/Singapore/SS35/2010_2010/06/03	1	1	4	4
JX309643_A/Singapore/GP3532/2010_2010/07/15	1	1	4	4
JX309504_A/Singapore/TT358/2010_2010/06/12	1	1	4	4
JX309768_A/Singapore/GP3848/2010_2010/08/20	1	1	4	4
JX309737_A/Singapore/TT437/2010_2010/08/16	1	1	4	4
