KC813738,B/Alabama/01/2010,2010-09-14
KC813928,B/Alabama/01/2011,2011-02-28
KC891793,B/Alabama/01/2012,2012-02-22
KF216761,B/Alabama/01/2013,2013-01-09
CY218621,B/Alabama/01/2017,2017-01-17
MH130394,B/Alabama/01/2018,2018-01-15
JN992830,B/Alabama/02/2010,2010-11-01
KC813954,B/Alabama/02/2011,2011-04-04
KF216588,B/Alabama/02/2012,2012-09-25
KJ136164,B/Alabama/02/2013,2013-05-22
KT853495,B/Alabama/02/2014,2014-10-04
CY221366,B/Alabama/02/2017,2017-01-31
CY231336,B/Alabama/02/2017,2017-01-31
JN992881,B/Alabama/03/2010,2010-11-01
JN992884,B/Alabama/03/2010,2010-11-01
KT853177,B/Alabama/03/2014,2014-11-09
CY212170,B/Alabama/03/2016,2016-12-13
CY224518,B/Alabama/03/2017,2017-02-20
MH135893,B/Alabama/03/2018,2018-02-06
KT853224,B/Alabama/04/2014,2014-12-11
KT854226,B/Alabama/04/2015,2015-03-09
CY224526,B/Alabama/04/2017,2017-02-22
MH135901,B/Alabama/04/2018,2018-02-06
KX002588,B/Alabama/05/2014,2014-12-05
CY224534,B/Alabama/05/2017,2017-02-22
MH583080,B/Alabama/05/2018,2018-02-12
MH245246,B/Alabama/07/2018,2018-02-20
JN992887,B/Alabama/08/2010,2010-11-05
MH362863,B/Alabama/08/2018,2018-02-23
CY250219,B/Alabama/09/2017,2017-09-07
MH245254,B/Alabama/09/2018,2018-02-26
CY250195,B/Alabama/11/2017,2017-09-13
MK077148,B/Alabama/11/2018,2018-08-09
CY263549,B/Alabama/16/2017,2017-12-06
MH080668,B/Alabama/16/2017,2017-12-06
CY147223,B/Alabama/3331/2013,2013-03-11
CY147237,B/Alabama/3345/2013,2013-03-15
CY187729,B/Alabama/3811/2014,2014-02-21
CY187730,B/Alabama/3812/2014,2014-04-21
CY193632,B/Alabama/4379/2014,2014-12-15
CY193849,B/Alabama/4596/2015,2015-01-28
CY194075,B/Alabama/4822/2015,2015-03-03
CY194076,B/Alabama/4823/2015,2015-03-19
MH885101,B/Alabama/6872/2018,2018-01-26
MH885102,B/Alabama/6873/2018,2018-01-26
MK445663,B/Alabama/7489/2018,2018-03-15
EU515966,B/Alaska/01/2007,2007-01-30
EU779567,B/Alaska/01/2008,2008-01-16
JN992893,B/Alaska/01/2010,2010-12-09
KC813772,B/Alaska/01/2011,2011-01-08
KC891803,B/Alaska/01/2012,2012-02-13
KF217046,B/Alaska/01/2013,2013-01-17
KM063613,B/Alaska/01/2014,2014-03-18
KX007079,B/Alaska/01/2016,2016-01-07
MN085424,B/Alaska/01/2019,2019-03-21
FJ480147,B/Alaska/02/2008,2008-08-07
GQ451541,B/Alaska/02/2009,2009-02-04
CY226358,B/Alaska/02/2017,2017-03-09
MH135917,B/Alaska/02/2018,2018-01-16
CY019659,B/Alaska/03/1992,1992-06-13
FJ480146,B/Alaska/03/2008,2008-10-06
KT283515,B/Alaska/03/2014,2014-06-09
KX613279,B/Alaska/03/2016,2016-01-29
MN155828,B/Alaska/03/2019,2019-04-29
KJ136134,B/Alaska/04/2013,2013-04-17
CY236675,B/Alaska/04/2017,2017-03-31
MH583104,B/Alaska/04/2018,2018-02-05
FJ686885,B/Alaska/05/2008,2008-11-21
MH583112,B/Alaska/05/2018,2018-02-07
FJ686879,B/Alaska/06/2008,2008-11-18
KX615110,B/Alaska/06/2016,2016-02-28
CY237037,B/Alaska/06/2017,2017-04-21
KT865997,B/Alaska/07/2015,2015-04-15
CY237468,B/Alaska/07/2017,2017-05-03
KC814026,B/Alaska/08/2011,2011-04-05
KT866533,B/Alaska/08/2015,2015-04-21
CY237476,B/Alaska/08/2017,2017-05-04
MH585102,B/Alaska/08/2018,2018-03-02
GQ340568,B/Alaska/09/2008,2008-12-10
KC891683,B/Alaska/09/2011,2011-10-19
KC891945,B/Alaska/10/2011,2011-11-22
KT866901,B/Alaska/10/2015,2015-04-29
CY240369,B/Alaska/10/2017,2017-06-28
MH362871,B/Alaska/10/2018,2018-03-15
CY240353,B/Alaska/11/2017,2017-07-07
MH362879,B/Alaska/11/2018,2018-03-23
CY018357,B/Alaska/12/1996,1996-10-28
KC891694,B/Alaska/12/2012,2012-06-14
KX002560,B/Alaska/13/2015,2015-05-02
KX921824,B/Alaska/13/2016,2016-04-26
KC891693,B/Alaska/14/2012,2012-07-17
KY043576,B/Alaska/14/2016,2016-04-26
MH671697,B/Alaska/14/2018,2018-05-04
KT866235,B/Alaska/15/2015,2015-05-10
MH671705,B/Alaska/15/2018,2018-05-04
CY018469,B/Alaska/16/2000,2000-11-22
KX002968,B/Alaska/16/2015,2015-05-08
CY248664,B/Alaska/16/2017,2017-03-16
KX920368,B/Alaska/17/2016,2016-06-08
CY248672,B/Alaska/17/2017,2017-04-02
KT866557,B/Alaska/18/2015,2015-05-11
KT853637,B/Alaska/19/2015,2015-05-02
CY215562,B/Alaska/19/2016,2016-12-31
CY248685,B/Alaska/19/2017,2017-05-18
MK025804,B/Alaska/19/2018,2018-07-13
CY246870,B/Alaska/20/2017,2017-09-07
KT854023,B/Alaska/21/2015,2015-05-20
CY262432,B/Alaska/21/2017,2017-11-07
KX002613,B/Alaska/22/2015,2015-05-15
CY265946,B/Alaska/23/2017,2017-12-12
CY265938,B/Alaska/24/2017,2017-12-13
KT866972,B/Alaska/25/2015,2015-06-02
KT866979,B/Alaska/27/2015,2015-06-03
KX003256,B/Alaska/29/2014,2014-10-27
KT866127,B/Alaska/31/2015,2015-06-02
CY141283,B/Alaska/3268/2012,2012-12-28
CY147227,B/Alaska/3335/2013,2013-03-13
CY147238,B/Alaska/3346/2013,2013-03-15
CY147239,B/Alaska/3347/2013,2013-03-15
CY147242,B/Alaska/3350/2013,2013-03-15
CY147243,B/Alaska/3351/2013,2013-03-15
KT866143,B/Alaska/35/2015,2015-06-18
KT853682,B/Alaska/40/2015,2015-06-20
KX003145,B/Alaska/49/2015,2015-08-24
KX007576,B/Alaska/49/2015,2015-08-24
CY208397,B/Alaska/5164/2016,2016-02-29
KU592691,B/Alaska/52/2015,2015-09-17
CY209883,B/Alaska/5398/2016,2016-03-21
MH292853,B/Alaska/6432/2017,2017-11-16
MN169076,B/Alaska/9157/2019,2019-02-20
MF195745,B/Alberta/001/2016,2016-01-04
MF195746,B/Alberta/002/2016,2016-01-08
MF195747,B/Alberta/004/2016,2016-01-12
MF195748,B/Alberta/005/2016,2016-01-19
MF195749,B/Alberta/006/2016,2016-01-20
MF195750,B/Alberta/007/2016,2016-01-21
MF195751,B/Alberta/008/2016,2016-01-25
MF195752,B/Alberta/009/2016,2016-01-25
MF195753,B/Alberta/010/2016,2016-01-26
MF195755,B/Alberta/012/2016,2016-01-28
MF195756,B/Alberta/013/2016,2016-01-29
MF195757,B/Alberta/014/2016,2016-02-02
MF195758,B/Alberta/015/2016,2016-02-03
MF195759,B/Alberta/016/2016,2016-02-04
MF195760,B/Alberta/017/2016,2016-02-05
MF195761,B/Alberta/019/2016,2016-02-09
MF195762,B/Alberta/020/2016,2016-02-09
MF195763,B/Alberta/021/2016,2016-02-10
MF195765,B/Alberta/023/2016,2016-02-10
MF195766,B/Alberta/024/2016,2016-02-11
MF195767,B/Alberta/025/2016,2016-02-17
MF195768,B/Alberta/027/2016,2016-02-18
MF195769,B/Alberta/032/2016,2016-02-23
MF195770,B/Alberta/033/2016,2016-02-23
MF195771,B/Alberta/035/2016,2016-02-23
MF195772,B/Alberta/036/2016,2016-02-26
MF195773,B/Alberta/037/2016,2016-02-26
MF195774,B/Alberta/038/2016,2016-02-27
MF195775,B/Alberta/039/2016,2016-02-29
MF195776,B/Alberta/040/2016,2016-03-01
MF195777,B/Alberta/041/2016,2016-03-02
MF195778,B/Alberta/042/2016,2016-03-02
MF195779,B/Alberta/043/2016,2016-03-03
MF195780,B/Alberta/044/2016,2016-03-04
MF195781,B/Alberta/045/2016,2016-03-06
MF195782,B/Alberta/046/2016,2016-03-08
MF195783,B/Alberta/047/2016,2016-03-08
MF195784,B/Alberta/048/2016,2016-03-09
MF195786,B/Alberta/050/2016,2016-03-08
MF195787,B/Alberta/051/2016,2016-03-10
MF195788,B/Alberta/053/2016,2016-03-11
MF195790,B/Alberta/055/2016,2016-03-14
MF195791,B/Alberta/056/2016,2016-03-14
MF195792,B/Alberta/057/2016,2016-03-14
MF195794,B/Alberta/059/2016,2016-03-14
MF195795,B/Alberta/060/2016,2016-03-15
MF195796,B/Alberta/061/2016,2016-03-15
MF195797,B/Alberta/062/2016,2016-03-15
MF195798,B/Alberta/063/2016,2016-03-15
MF195799,B/Alberta/064/2016,2016-03-15
MF195800,B/Alberta/065/2016,2016-03-15
MF195801,B/Alberta/066/2016,2016-03-17
MF195802,B/Alberta/067/2016,2016-03-17
MF195803,B/Alberta/068/2016,2016-03-21
MF195805,B/Alberta/070/2016,2016-03-24
MF195806,B/Alberta/071/2016,2016-03-24
MF195807,B/Alberta/072/2016,2016-03-26
MF195808,B/Alberta/073/2016,2016-03-28
MF195809,B/Alberta/074/2016,2016-03-30
MF195813,B/Alberta/079/2016,2016-04-04
MF195814,B/Alberta/080/2016,2016-04-06
MF195815,B/Alberta/081/2016,2016-04-07
MF195817,B/Alberta/083/2016,2016-04-09
KU729628,B/Alberta/11/2015,2015-01-27
KU729658,B/Alberta/15/2015,2015-03-17
KU729626,B/Alberta/16/2015,2015-03-04
KU729644,B/Alberta/17/2015,2015-03-04
KU729624,B/Alberta/18/2015,2015-03-09
