KT888855,A/Addis Ababa/1514A07305892N/2013,2013-09-26
KC882981,A/Alabama/01/2011,2011-01-05
CY216619,A/Alabama/01/2017,2017-01-04
MK554944,A/Alabama/01/2019,2019-01-01
KC893091,A/Alabama/02/2012,2012-01-21
KT835824,A/Alabama/02/2015,2015-01-26
KC883041,A/Alabama/03/2011,2011-04-04
CY216627,A/Alabama/03/2017,2017-01-19
MH081888,A/Alabama/03/2018,2018-01-03
KC892267,A/Alabama/04/2011,2011-12-07
KT835930,A/Alabama/04/2015,2015-01-22
CY216635,A/Alabama/04/2017,2017-01-23
MK744674,A/Alabama/04/2019,2019-01-03
KC535442,A/Alabama/05/2010,2010-07-13
KC892559,A/Alabama/05/2012,2012-03-01
KT837379,A/Alabama/05/2014,2014-10-20
MK744682,A/Alabama/05/2019,2019-01-03
KY089804,A/Alabama/06/2015,2015-03-11
CY220553,A/Alabama/06/2017,2017-02-07
MH126367,A/Alabama/06/2018,2018-01-13
KC882677,A/Alabama/07/2010,2010-10-28
KC893063,A/Alabama/07/2012,2012-03-20
KF790150,A/Alabama/07/2013,2013-05-22
KT842170,A/Alabama/07/2015,2015-02-11
KC882800,A/Alabama/08/2010,2010-11-03
KC892182,A/Alabama/08/2012,2012-04-04
KT842233,A/Alabama/08/2015,2015-02-14
CY223047,A/Alabama/08/2017,2017-02-20
MN000554,A/Alabama/08/2019,2019-01-26
KT838375,A/Alabama/09/2014,2014-11-05
KT842002,A/Alabama/09/2015,2015-02-14
CY223055,A/Alabama/09/2017,2017-02-24
MH126305,A/Alabama/09/2018,2018-01-16
KC882573,A/Alabama/10/2010,2010-11-07
KT839860,A/Alabama/10/2014,2014-12-04
CY230716,A/Alabama/10/2017,2017-03-06
MK772121,A/Alabama/10/2019,2019-02-01
KT839883,A/Alabama/12/2014,2014-12-09
CY230708,A/Alabama/12/2017,2017-03-09
KC882464,A/Alabama/13/2010,2010-12-16
KY289357,A/Alabama/13/2016,2016-10-19
MK856513,A/Alabama/13/2019,2019-02-21
KY289403,A/Alabama/14/2016,2016-10-19
MK856523,A/Alabama/14/2019,2019-02-21
CY210697,A/Alabama/15/2016,2016-11-16
CY230692,A/Alabama/15/2017,2017-03-20
MK856531,A/Alabama/15/2019,2019-03-05
CY210689,A/Alabama/16/2016,2016-11-27
CY230684,A/Alabama/16/2017,2017-03-29
KF789925,A/Alabama/17/2012,2012-09-05
CY230676,A/Alabama/17/2017,2017-03-30
CY234756,A/Alabama/18/2017,2017-05-04
MH585854,A/Alabama/18/2018,2018-02-10
MN000583,A/Alabama/18/2019,2019-03-01
CY234764,A/Alabama/19/2017,2017-05-04
MN000591,A/Alabama/20/2019,2019-03-21
CY250629,A/Alabama/24/2017,2017-10-17
CY259884,A/Alabama/25/2017,2017-10-19
CY264181,A/Alabama/27/2017,2017-11-12
MH601206,A/Alabama/30/2018,2018-02-13
KF789911,A/Alabama/35/2012,2012-12-18
MH081908,A/Alabama/35/2017,2017-12-19
CY208038,A/Alabama/4026/2014,2014-11-25
CY208039,A/Alabama/4027/2014,2014-12-01
MK474670,A/Alabama/41/2018,2018-12-03
CY208053,A/Alabama/4228/2015,2015-01-05
CY026037,A/Alabama/UR06-0482/2007,2007-03-01
CY025861,A/Alabama/UR06-0545/2007,2007-03-07
CY093265,A/Alabama/WRAIR1242P/2009,2009-02-01
KX697010,A/Alappey/MCVR449/2009,2009-08-27
EU716436,A/Alaska/01/2008,2008-01-22
KC882747,A/Alaska/01/2011,2011-01-14
KF789746,A/Alaska/01/2013,2013-03-06
KM064008,A/Alaska/01/2014,2014-01-19
CY216059,A/Alaska/01/2017,2017-01-08
KC535499,A/Alaska/02/2010,2010-07-22
KC892854,A/Alaska/02/2012,2012-03-06
KF790044,A/Alaska/02/2013,2013-02-20
KF790047,A/Alaska/02/2013,2013-02-20
KC535488,A/Alaska/03/2010,2010-08-06
KC892630,A/Alaska/03/2012,2012-01-13
KF790122,A/Alaska/03/2013,2013-04-05
KY090447,A/Alaska/03/2015,2015-02-13
CY220249,A/Alaska/03/2017,2017-01-23
FJ532065,A/Alaska/04/2008,2008-08-09
KC882755,A/Alaska/04/2010,2010-09-01
KC892417,A/Alaska/04/2012,2012-05-14
KF790192,A/Alaska/04/2013,2013-04-24
KY044325,A/Alaska/04/2016,2016-01-20
CY220241,A/Alaska/04/2017,2017-01-24
MH126410,A/Alaska/04/2018,2018-01-22
EU199428,A/Alaska/05/2007,2007-03-20
KC882452,A/Alaska/05/2010,2010-12-08
KF790381,A/Alaska/05/2013,2013-04-23
KM064094,A/Alaska/05/2014,2014-03-15
KX414922,A/Alaska/05/2016,2016-01-31
CY222055,A/Alaska/05/2017,2017-02-09
EU516192,A/Alaska/06/2007,2007-03-08
KF789648,A/Alaska/06/2013,2013-05-21
KX414914,A/Alaska/06/2016,2016-01-23
CY222063,A/Alaska/06/2017,2017-02-09
MH585870,A/Alaska/06/2018,2018-02-06
CY223167,A/Alaska/08/2017,2017-02-13
CY239715,A/Alaska/08/2017,2017-02-13
MH585878,A/Alaska/08/2018,2018-02-10
MK268374,A/Alaska/08/2018,2018-02-10
KT843534,A/Alaska/09/2015,2015-04-18
CY223175,A/Alaska/09/2017,2017-02-21
MK744194,A/Alaska/09/2019,2019-01-24
KC883392,A/Alaska/10/2011,2011-02-04
KX003676,A/Alaska/106/2015,2015-06-27
KX003695,A/Alaska/109/2015,2015-07-07
MH246249,A/Alaska/11/2018,2018-02-20
MH897994,A/Alaska/11/2018,2018-02-20
KX003725,A/Alaska/114/2015,2015-07-06
CY230740,A/Alaska/12/2017,2017-03-30
KX003781,A/Alaska/120/2015,2015-07-10
KX003797,A/Alaska/122/2015,2015-07-05
KX003805,A/Alaska/123/2015,2015-07-15
KX003837,A/Alaska/128/2015,2015-07-16
KC883089,A/Alaska/13/2011,2011-04-12
CY235498,A/Alaska/13/2017,2017-04-03
MK772145,A/Alaska/13/2019,2019-01-28
KX003869,A/Alaska/133/2015,2015-07-25
KT844153,A/Alaska/139/2015,2015-08-04
KM064194,A/Alaska/14/2013,2013-09-23
KT844185,A/Alaska/143/2015,2015-08-06
KT844209,A/Alaska/146/2015,2015-07-23
KU589693,A/Alaska/152/2015,2015-07-20
KU590119,A/Alaska/153/2015,2015-08-03
KU589701,A/Alaska/154/2015,2015-07-24
KU589709,A/Alaska/155/2015,2015-08-08
KU589992,A/Alaska/159/2015,2015-08-17
KC883439,A/Alaska/16/2011,2011-03-24
KC892528,A/Alaska/16/2012,2012-07-13
CY235634,A/Alaska/16/2017,2017-04-22
MH306757,A/Alaska/16/2018,2018-03-05
KX412103,A/Alaska/164/2015,2015-08-03
KT843637,A/Alaska/17/2015,2015-06-01
KX412143,A/Alaska/170/2015,2015-08-21
KT843853,A/Alaska/18/2015,2015-06-01
KU591382,A/Alaska/183/2015,2015-08-16
KU591412,A/Alaska/185/2015,2015-08-20
KX917862,A/Alaska/19/2016,2016-04-25
MN221591,A/Alaska/19/2019,2019-02-20
KX412211,A/Alaska/194/2015,2015-08-17
KX412219,A/Alaska/195/2015,2015-08-24
KC892605,A/Alaska/20/2012,2012-07-13
MH358496,A/Alaska/20/2018,2018-03-19
KX412251,A/Alaska/201/2015,2015-09-07
KX412259,A/Alaska/202/2015,2015-09-07
KX412267,A/Alaska/204/2015,2015-09-05
KX412275,A/Alaska/205/2015,2015-09-07
KX003960,A/Alaska/206/2015,2015-09-07
KX003968,A/Alaska/207/2015,2015-09-07
KU590323,A/Alaska/208/2015,2015-09-02
KX003976,A/Alaska/209/2015,2015-09-07
KC892659,A/Alaska/21/2012,2012-08-01
KT844349,A/Alaska/21/2015,2015-06-08
CY240081,A/Alaska/21/2017,2017-06-16
MN221599,A/Alaska/21/2019,2019-02-25
KT888576,A/Alaska/21usafsam/2012,2012-01-29
KF790176,A/Alaska/22/2012,2012-10-01
KF790198,A/Alaska/22/2012,2012-10-01
KY090501,A/Alaska/22/2015,2015-06-06
KY044189,A/Alaska/22/2016,2016-06-06
CY240065,A/Alaska/22/2017,2017-07-10
KU591815,A/Alaska/221/2015,2015-09-03
KX412294,A/Alaska/226/2015,2015-09-10
KF790189,A/Alaska/23/2012,2012-10-05
KF790202,A/Alaska/23/2012,2012-10-05
MH601228,A/Alaska/23/2018,2018-01-22
KU591839,A/Alaska/231/2015,2015-09-15
KY116961,A/Alaska/232/2015,2015-09-09
KX412302,A/Alaska/233/2015,2015-09-16
KC535311,A/Alaska/24/2009,2009-04-03
KF790226,A/Alaska/24/2012,2012-10-14
KY003468,A/Alaska/24/2016,2016-09-08
CY242312,A/Alaska/24/2017,2017-07-18
MN084122,A/Alaska/24/2019,2019-04-12
KU592058,A/Alaska/240/2015,2015-09-15
KY116953,A/Alaska/240/2015,2015-09-15
KU592090,A/Alaska/249/2015,2015-09-17
KY003380,A/Alaska/25/2016,2016-09-10
KX412340,A/Alaska/252/2015,2015-09-21
KU590528,A/Alaska/253/2015,2015-10-02
KU591278,A/Alaska/258/2015,2015-10-12
KT844325,A/Alaska/26/2015,2015-06-14
KY116120,A/Alaska/26/2016,2016-09-20
CY243521,A/Alaska/26/2017,2017-06-02
MN221612,A/Alaska/26/2019,2019-04-27
KU592122,A/Alaska/261/2015,2015-10-26
KX413000,A/Alaska/269/2015,2015-11-16
KM852983,A/Alaska/27/2014,2014-05-13
CY243537,A/Alaska/27/2017,2017-06-03
MH601256,A/Alaska/27/2018,2018-02-18
MN221620,A/Alaska/27/2019,2019-04-27
CY209122,A/Alaska/28/2016,2016-10-31
CY243529,A/Alaska/28/2017,2017-06-05
KC535314,A/Alaska/29/2009,2009-04-15
KM852963,A/Alaska/29/2014,2014-07-18
CY243545,A/Alaska/29/2017,2017-06-08
CY210442,A/Alaska/31/2016,2016-11-20
CY243561,A/Alaska/31/2017,2017-06-26
CY212476,A/Alaska/32/2016,2016-12-05
CY243569,A/Alaska/32/2017,2017-06-30
KT843803,A/Alaska/33/2015,2015-06-19
CY212484,A/Alaska/33/2016,2016-12-05
CY243577,A/Alaska/33/2017,2017-06-30
KM853011,A/Alaska/34/2014,2014-07-05
MH792468,A/Alaska/34/2018,2018-04-05
KR057537,A/Alaska/35/2014,2014-06-19
CY243593,A/Alaska/37/2017,2017-07-11
MH600587,A/Alaska/37/2018,2018-04-14
MH600595,A/Alaska/38/2018,2018-04-14
MH792433,A/Alaska/38/2018,2018-04-14
MH600603,A/Alaska/40/2018,2018-04-16
MH729402,A/Alaska/40/2018,2018-04-16
CY208040,A/Alaska/4031/2014,2014-11-18
CY208041,A/Alaska/4032/2014,2014-11-24
CY243657,A/Alaska/45/2017,2017-07-30
KT837718,A/Alaska/46/2014,2014-10-04
MH729415,A/Alaska/46/2018,2018-06-01
KT837760,A/Alaska/47/2014,2014-10-05
MK181829,A/Alaska/47/2018,2018-09-04
CY208072,A/Alaska/4733/2015,2015-02-05
CY243664,A/Alaska/48/2017,2017-08-03
KY089607,A/Alaska/49/2014,2014-10-10
KU589677,A/Alaska/50/2015,2015-06-16
MK181837,A/Alaska/50/2018,2018-09-13
CY244635,A/Alaska/51/2017,2017-08-07
KT837126,A/Alaska/52/2014,2014-09-03
CY245144,A/Alaska/56/2017,2017-08-31
CY245136,A/Alaska/57/2017,2017-09-01
KU591219,A/Alaska/58/2015,2015-06-17
MK474847,A/Alaska/58/2018,2018-11-17
MK623970,A/Alaska/58/2018,2018-11-17
KY090344,A/Alaska/59/2014,2014-11-18
MK474783,A/Alaska/59/2018,2018-11-18
KU591227,A/Alaska/60/2015,2015-06-15
CY247088,A/Alaska/60/2017,2017-08-22
MK623062,A/Alaska/61/2018,2018-11-29
CY247104,A/Alaska/62/2017,2017-09-07
CY257631,A/Alaska/64/2017,2017-09-25
KT844182,A/Alaska/65/2015,2015-06-26
KT843551,A/Alaska/66/2015,2015-06-24
MK623954,A/Alaska/66/2018,2018-12-18
MK381607,A/Alaska/6939/2018,2018-03-21
MK380071,A/Alaska/7516/2018,2018-10-30
MK743204,A/Alaska/7957/2019,2019-01-15
MK763514,A/Alaska/8100/2019,2019-01-24
MK763134,A/Alaska/8102/2019,2019-01-29
MH669464,A/Alaska/83/2017,2017-10-03
MH601284,A/Alaska/84/2017,2017-10-03
MH601300,A/Alaska/87/2017,2017-10-21
MK912408,A/Alaska/8718/2019,2019-03-08
MH131208,A/Alaska/89/2017,2017-11-14
MH131216,A/Alaska/90/2017,2017-11-17
MN169314,A/Alaska/9014/2019,2019-03-11
MK960334,A/Alaska/9321/2019,2019-03-26
MK960350,A/Alaska/9324/2019,2019-03-13
KX003597,A/Alaska/96/2015,2015-06-30
MH131288,A/Alaska/99/2017,2017-12-18
KC865654,A/Alborz/1095/2012,2012-01-24
KC865612,A/Alborz/609/2012,2012-01-09
KY328820,A/Alborz/72205/2014,2014-10-16
KC865638,A/Alborz/927/2012,2012-01-18
KT888841,A/Amman/1514A01004465T/2011,2011-12-05
EU879077,A/Argentina/135/2005,2005-06-13
KT835877,A/Arizona/01/2015,2015-01-30
MH126430,A/Arizona/01/2018,2018-01-05
MH126439,A/Arizona/02/2018,2018-01-10
MK744746,A/Arizona/02/2019,2019-01-01
KC883412,A/Arizona/03/2011,2011-02-17
CY220425,A/Arizona/04/2017,2017-01-30
CY220433,A/Arizona/05/2017,2017-01-31
KC893100,A/Arizona/06/2011,2011-12-09
CY224888,A/Arizona/06/2017,2017-01-31
KC892864,A/Arizona/07/2012,2012-04-05
KT843533,A/Arizona/07/2015,2015-04-14
GQ385833,A/Arizona/08/2009,2009-02-27
KM064203,A/Arizona/08/2013,2013-10-31
EU516221,A/Arizona/09/2007,2007-12-23
KF790220,A/Arizona/09/2012,2012-10-22
KF790268,A/Arizona/09/2012,2012-10-22
KT844368,A/Arizona/09/2015,2015-06-21
MK744202,A/Arizona/09/2019,2019-01-19
EU516226,A/Arizona/10/2007,2007-12-14
KT843645,A/Arizona/10/2015,2015-08-01
GQ385907,A/Arizona/11/2009,2009-02-25
KC882760,A/Arizona/11/2010,2010-09-24
KF790519,A/Arizona/11/2012,2012-12-12
KT844071,A/Arizona/11/2015,2015-07-14
KX414187,A/Arizona/11/2016,2016-01-13
CY223207,A/Arizona/11/2017,2017-02-19
EU516233,A/Arizona/12/2007,2007-12-27
KC882780,A/Arizona/12/2010,2010-11-09
KC882494,A/Arizona/13/2010,2010-12-06
CY230532,A/Arizona/13/2017,2017-02-22
CY230540,A/Arizona/14/2017,2017-02-25
KX411929,A/Arizona/15/2015,2015-09-20
MH306786,A/Arizona/15/2018,2018-02-11
MH792476,A/Arizona/15/2018,2018-02-11
MK856555,A/Arizona/15/2019,2019-02-05
KM064399,A/Arizona/16/2013,2013-11-20
KX411937,A/Arizona/16/2015,2015-09-28
MH306793,A/Arizona/16/2018,2018-02-11
MK856559,A/Arizona/16/2019,2019-02-23
KM064396,A/Arizona/17/2013,2013-12-02
KX411952,A/Arizona/18/2015,2015-09-30
CY234194,A/Arizona/18/2017,2017-03-13
MK856572,A/Arizona/18/2019,2019-02-27
CY230652,A/Arizona/20/2017,2017-03-27
KX414507,A/Arizona/21/2016,2016-01-24
