JF972546,B/Akita/34/2001,2001-03-08
JF972554,B/Akita/41/2001,2001-03-09
CY218623,B/Alabama/01/2017,2017-01-17
KJ136165,B/Alabama/02/2013,2013-05-22
KT853506,B/Alabama/02/2014,2014-10-04
CY221368,B/Alabama/02/2017,2017-01-31
CY231338,B/Alabama/02/2017,2017-01-31
MH135887,B/Alabama/02/2018,2018-01-22
KT853164,B/Alabama/03/2014,2014-11-09
KT854949,B/Alabama/03/2015,2015-03-09
CY236448,B/Alabama/03/2016,2016-12-13
CY212172,B/Alabama/03/2016,2016-12-13
MH135895,B/Alabama/03/2018,2018-02-06
KT853226,B/Alabama/04/2014,2014-12-11
CY224528,B/Alabama/04/2017,2017-02-22
MH135903,B/Alabama/04/2018,2018-02-06
KX002574,B/Alabama/05/2014,2014-12-05
CY224536,B/Alabama/05/2017,2017-02-22
MH583082,B/Alabama/05/2018,2018-02-12
KX002608,B/Alabama/06/2014,2014-12-29
MH583090,B/Alabama/06/2018,2018-02-13
MH245244,B/Alabama/07/2018,2018-02-20
MH362865,B/Alabama/08/2018,2018-02-23
CY250221,B/Alabama/09/2017,2017-09-07
MH245252,B/Alabama/09/2018,2018-02-26
CY250197,B/Alabama/11/2017,2017-09-13
MK077150,B/Alabama/11/2018,2018-08-09
CY250205,B/Alabama/12/2017,2017-09-13
CY263535,B/Alabama/13/2017,2017-11-28
CY263543,B/Alabama/15/2017,2017-12-05
CY208094,B/Alabama/4823/2015,2015-03-19
MK380548,B/Alabama/7088/2018,2018-01-29
MK445703,B/Alabama/7489/2018,2018-03-15
KX007081,B/Alaska/01/2016,2016-01-07
CY221136,B/Alaska/01/2017,2017-01-06
MN085426,B/Alaska/01/2019,2019-03-21
KT283483,B/Alaska/02/2014,2014-05-29
KX613489,B/Alaska/02/2016,2016-01-25
CY226360,B/Alaska/02/2017,2017-03-09
MH135919,B/Alaska/02/2018,2018-01-16
CY019661,B/Alaska/03/1992,1992-06-13
KT283443,B/Alaska/03/2014,2014-06-09
KT853324,B/Alaska/03/2015,2015-01-02
KX613281,B/Alaska/03/2016,2016-01-29
CY231514,B/Alaska/03/2017,2017-03-29
MN155830,B/Alaska/03/2019,2019-04-29
CY236677,B/Alaska/04/2017,2017-03-31
KX615104,B/Alaska/05/2016,2016-02-13
MH583114,B/Alaska/05/2018,2018-02-07
KJ136159,B/Alaska/06/2013,2013-05-10
KX615112,B/Alaska/06/2016,2016-02-28
CY237039,B/Alaska/06/2017,2017-04-21
KT865999,B/Alaska/07/2015,2015-04-15
CY237470,B/Alaska/07/2017,2017-05-03
KT866500,B/Alaska/08/2015,2015-04-21
CY237478,B/Alaska/08/2017,2017-05-04
MH585104,B/Alaska/08/2018,2018-03-02
KY090598,B/Alaska/09/2015,2015-04-12
CY240227,B/Alaska/09/2017,2017-06-25
KT866903,B/Alaska/10/2015,2015-04-29
CY240371,B/Alaska/10/2017,2017-06-28
MH362873,B/Alaska/10/2018,2018-03-15
CY240355,B/Alaska/11/2017,2017-07-07
MH362881,B/Alaska/11/2018,2018-03-23
CY018359,B/Alaska/12/1996,1996-10-28
CY240363,B/Alaska/12/2017,2017-07-09
MH606262,B/Alaska/12/2018,2018-04-14
MH606274,B/Alaska/13/2018,2018-04-18
MH671699,B/Alaska/14/2018,2018-05-04
CY018471,B/Alaska/16/2000,2000-11-22
KX922498,B/Alaska/16/2016,2016-05-07
KX920370,B/Alaska/17/2016,2016-06-08
MH726835,B/Alaska/17/2018,2018-05-01
KT866247,B/Alaska/18/2015,2015-05-11
CY218285,B/Alaska/18/2016,2016-11-29
MH726843,B/Alaska/18/2018,2018-06-03
KT853639,B/Alaska/19/2015,2015-05-02
CY217302,B/Alaska/19/2016,2016-12-31
MK025806,B/Alaska/19/2018,2018-07-13
KT866255,B/Alaska/20/2015,2015-05-13
CY262434,B/Alaska/21/2017,2017-11-07
KX002992,B/Alaska/22/2015,2015-05-15
CY262754,B/Alaska/22/2017,2017-11-16
CY265948,B/Alaska/23/2017,2017-12-12
KT866940,B/Alaska/24/2015,2015-05-21
CY265940,B/Alaska/24/2017,2017-12-13
KT283550,B/Alaska/25/2014,2014-07-30
KT866974,B/Alaska/25/2015,2015-06-02
KT866981,B/Alaska/27/2015,2015-06-03
KX003254,B/Alaska/29/2014,2014-10-27
KT853343,B/Alaska/30/2014,2014-11-07
KT866121,B/Alaska/30/2015,2015-06-02
KT866129,B/Alaska/31/2015,2015-06-02
KT866137,B/Alaska/33/2015,2015-06-09
KT866153,B/Alaska/36/2015,2015-06-16
KT853684,B/Alaska/40/2015,2015-06-20
KT855064,B/Alaska/46/2015,2015-07-06
CY208095,B/Alaska/4824/2015,2015-02-27
KX003147,B/Alaska/49/2015,2015-08-24
KX007578,B/Alaska/49/2015,2015-08-24
KU592693,B/Alaska/52/2015,2015-09-17
MN169078,B/Alaska/9157/2019,2019-02-20
MK680504,B/Anhuijinghu/63/2019,2019-02-25
CY019549,B/Argentina/132/2001,2001-08-07
KJ532170,B/Arizona/01/2014,2014-01-02
KT866671,B/Arizona/01/2015,2015-04-15
KX006525,B/Arizona/01/2016,2016-01-04
CY221280,B/Arizona/01/2017,2017-01-24
MH135927,B/Arizona/01/2018,2018-01-25
KT853773,B/Arizona/02/2015,2015-04-20
CY221288,B/Arizona/02/2017,2017-01-26
MH583122,B/Arizona/02/2018,2018-01-05
MK676192,B/Arizona/02/2019,2019-01-13
KJ136129,B/Arizona/03/2013,2013-01-23
MK715521,B/Arizona/03/2019,2019-01-14
KT853151,B/Arizona/04/2014,2014-10-09
KT866227,B/Arizona/04/2015,2015-05-11
MK857756,B/Arizona/04/2019,2019-02-09
MK857774,B/Arizona/05/2019,2019-02-13
KJ136171,B/Arizona/06/2013,2013-05-30
KX003111,B/Arizona/06/2015,2015-05-13
KX613889,B/Arizona/06/2016,2016-01-27
CY223647,B/Arizona/06/2017,2017-02-14
MH585127,B/Arizona/06/2018,2018-01-30
MK998734,B/Arizona/06/2019,2019-02-19
CY223655,B/Arizona/07/2017,2017-02-16
MK998742,B/Arizona/07/2019,2019-03-05
KJ532198,B/Arizona/08/2013,2013-09-27
MH585144,B/Arizona/08/2018,2018-02-04
CY229591,B/Arizona/09/2017,2017-02-26
KU592565,B/Arizona/10/2015,2015-11-02
KY042903,B/Arizona/10/2015,2015-11-02
MH362896,B/Arizona/10/2018,2018-03-06
KU592517,B/Arizona/11/2015,2015-12-02
MH362905,B/Arizona/11/2018,2018-03-07
KX006654,B/Arizona/12/2015,2015-12-21
KY042613,B/Arizona/12/2016,2016-02-06
MH362909,B/Arizona/12/2018,2018-03-11
KX007189,B/Arizona/13/2015,2015-12-28
MH362921,B/Arizona/13/2018,2018-02-15
CY231434,B/Arizona/14/2017,2017-03-30
MH362929,B/Arizona/14/2018,2018-02-16
KX007205,B/Arizona/15/2015,2015-11-28
KX615296,B/Arizona/15/2016,2016-02-15
MH604616,B/Arizona/15/2018,2018-02-21
CY236943,B/Arizona/16/2017,2017-04-13
KX616480,B/Arizona/17/2016,2016-02-17
KX007009,B/Arizona/18/2015,2015-12-23
MH362945,B/Arizona/18/2018,2018-03-10
KX007380,B/Arizona/19/2015,2015-12-23
CY237204,B/Arizona/19/2017,2017-04-24
