name	nbCladesAll	nbCladesSpec	cladesAll	cladesSpec
KC891793_B/Alabama/01/2012_2012/02/22	1	1	2	2
JX266903_B/Taiwan/94564/2011_2011/12/17	1	1	2	2
KC892118_B/Massachusetts/02/2012_2012/03/13	1	1	2	2
JX266907_B/Taiwan/94609/2011_2011/12/24	1	1	2	2
JX266921_B/Taiwan/94674/2011_2011/12/31	1	1	2	2
JX266930_B/Taiwan/94714/2012_2012/01/06	1	1	2	2
JX266927_B/Taiwan/94743/2012_2012/01/13	1	1	2	2
JX266925_B/Taiwan/94768/2012_2012/01/20	1	1	2	2
JX266904_B/Taiwan/94786/2012_2012/02/14	1	1	2	2
KC891854_B/Texas/10/2011_2011/12/22	1	1	2	2
KC892023_B/Washington/01/2012_2012/01/25	1	1	2	2
CY197521_B/South Auckland/13/2012_2012/07/06	1	1	2	2
CY197073_B/South Auckland/5/2012_2012/06/16	1	1	2	2
CY197985_B/Wellington/90/2012_2012/08/29	1	1	2	2
KC891691_B/Wisconsin/09/2012_2012/07/30	1	1	2	2
KC891954_B/New Hampshire/01/2012_2012/01/03	1	1	2	2
KC891867_B/New Hampshire/07/2012_2012/05/17	1	1	2	2
KC891751_B/Rhode Island/03/2012_2012/05/07	1	1	2	2
KC891811_B/Vermont/03/2012_2012/03/05	1	1	2	2
CY197673_B/South Auckland/40/2012_2012/08/10	1	1	2	2
CY197977_B/Waikato/7/2012_2012/08/27	1	1	2	2
JX266920_B/Taiwan/94691/2012_2012/01/03	1	1	2	2
JX266929_B/Taiwan/94712/2012_2012/01/05	1	1	2	2
JX266924_B/Taiwan/94775/2012_2012/01/21	1	1	2	2
KC892061_B/Texas/08/2012_2012/04/03	1	1	2	2
KC891969_B/Idaho/06/2011_2011/12/30	1	1	2	2
KM100194_B/Thailand/CU-H3349/2012_2012/08/20	1	1	2	2
KJ577165_B/Thailand/VIROAF3/2012_2012/10/01	1	1	2	2
KJ848690_B/Thailand/VIROAF3CS/2012_2012/10/01	1	1	2	2
KF216500_B/Nevada/17/2012_2012/12/14	1	1	2	2
JX266931_B/Taiwan/94818/2012_2012/03/05	1	1	2	2
KC891988_B/Delaware/08/2012_2012/05/31	1	1	2	2
KC891825_B/Nevada/01/2012_2012/03/05	1	1	2	2
KC891886_B/Washington/03/2012_2012/03/05	1	1	2	2
JX266926_B/Taiwan/94759/2012_2012/01/20	1	1	2	2
JX266919_B/Taiwan/94685/2012_2012/01/03	1	1	2	2
JX266928_B/Taiwan/94750/2012_2012/01/14	1	1	2	2
CY147219_B/Arizona/3327/2013_2013/03/07	1	1	2	2
KC891745_B/Nevada/04/2012_2012/05/01	1	1	2	2
KF216483_B/Nevada/06/2013_2013/02/05	1	1	2	2
KF886336_B/Arizona/NHRC393806/2013_2013/01/13	1	1	2	2
KF886339_B/California/NHRC392826/2013_2013/02/10	1	1	2	2
KF928638_B/California/NHRC384256/2013_2013/01/03	1	1	2	2
KF216881_B/Idaho/02/2013_2013/03/10	1	1	2	2
KF886317_B/California/NHRC394298/2013_2013/02/20	1	1	2	2
KF216761_B/Alabama/01/2013_2013/01/09	1	1	2	2
KF216902_B/Kansas/01/2013_2013/01/09	1	1	2	2
KC891883_B/Nebraska/02/2012_2012/03/20	1	1	2	2
KC891819_B/Oregon/02/2012_2012/03/06	1	1	2	2
KC891913_B/Wyoming/02/2012_2012/05/04	1	1	2	2
KF886328_B/South Carolina/NHRC390669/2013_2013/01/10	1	1	2	2
KC891964_B/Wisconsin/04/2012_2012/04/05	1	1	2	2
KC891842_B/Hawaii/04/2012_2012/07/20	1	1	2	2
KC892107_B/Hawaii/10/2012_2012/07/25	1	1	2	2
KC891675_B/Hawaii/07/2012_2012/08/01	1	1	2	2
KF217000_B/North Carolina/02/2013_2013/03/02	1	1	2	2
KC891841_B/Hawaii/01/2012_2012/07/03	1	1	2	2
KC891830_B/Hawaii/02/2012_2012/07/11	1	1	2	2
CY198977_B/Auckland/21/2013_2013/08/10	1	1	2	2
CY198833_B/Christchurch/511/2013_2013/08/13	1	1	2	2
CY198841_B/South Auckland/26/2013_2013/06/20	1	1	2	2
