name	nbCladesAll	nbCladesSpec	cladesAll	cladesSpec
LC155879	1	1	3c	3c
LC155894	1	1	3c	3c
LC155883	1	1	3c	3c
LC155857	1	1	3c	3c
LC155889	1	1	3c	3c
LC155878	1	1	3c	3c
LC155893	1	1	3c	3c
LC155858	1	1	3c	3c
LC155896	1	1	3c	3c
LC155876	1	1	3c3	3c3
LC155861	1	1	3c3	3c3
LC155860	1	1	3c3	3c3
LC155888	1	1	3c	3c
LC155870	1	1	3c	3c
KC892971	1	1	3c	3c
KC892204	1	1	3c	3c
KU299847	1	1	3c	3c
KC892786	1	1	3c	3c
KC893064	1	1	3c	3c
KC892532	1	1	3c	3c
KP638014	1	1	3c	3c
KF789615	1	1	3c	3c
CY147292	1	1	3c	3c
KF790138	1	1	3c	3c
KF790398	1	1	3c	3c
CY130200	1	1	3c	3c
KF789664	1	1	3c	3c
KT734899	1	1	3c	3c
KC893143	1	1	3c	3c
KR611280	1	1	3c	3c
KC892661	1	1	3c	3c
KR611819	1	1	3c	3c
KR611849	1	1	3c	3c
KR611835	1	1	3c	3c
KR611839	1	1	3c	3c
KR611826	1	1	3c	3c
KP335946	1	1	3c	3c
KP335945	1	1	3c	3c
KP335948	1	1	3c	3c
KP335952	1	1	3c	3c
KP335924	1	1	3c2	3c2
KP335916	1	1	3c2	3c2
KF886349	1	1	3c	3c
KC526208	1	1	3c	3c
CY134657	1	1	3c	3c
CY141179	1	1	3c	3c
KM208528	1	1	3c	3c
KP335896	1	1	3c	3c
KP335895	1	1	3c	3c
KP335898	1	1	3c	3c
MF113170	1	1	3c	3c
KP335899	1	1	3c	3c
KT888620	1	1	3c	3c
KT888623	1	1	3c	3c
KT888626	1	1	3c	3c
KT888627	1	1	3c	3c
KC892174	1	1	3c	3c
KP637998	1	1	3c	3c
KC892492	1	1	3c	3c
KP335887	1	1	3c	3c
KP335868	1	1	3c	3c
KT888628	1	1	3c	3c
KP638118	1	1	3c	3c
KP638214	1	1	3c	3c
KP335870	1	1	3c	3c
KP335878	1	1	3c	3c
KP335886	1	1	3c	3c
KT888643	1	1	3c	3c
KT888624	1	1	3c	3c
KT888621	1	1	3c	3c
KT888622	1	1	3c	3c
KC892227	1	1	3c	3c
KF551076	1	1	3c	3c
KP335877	1	1	3c	3c
KP335892	1	1	3c	3c
KC892291	1	1	3c	3c
KM208516	1	1	3c	3c
KC135502	1	1	3c	3c
KC893001	1	1	3c	3c
KP335876	1	1	3c	3c
KT888630	1	1	3c	3c
