,tip_name,ratio,size
0,MH358630,1.0,3
1,MH601026,1.0,3
2,MH600844,1.0,3
3,CY264353,1.0,3
4,MH082804,1.0,3
5,MH600710,1.0,3
6,MH358662,1.0,3
7,MH601049,1.0,3
8,CY261535,1.0,3
9,CY250107,1.0,3
10,MH601339,1.0,3
11,CY258180,1.0,3
12,MH126585,1.0,3
13,MH307266,1.0,3
14,MH127241,1.0,3
15,CY264870,1.0,3
16,CY234626,1.0,3
17,MF673285,1.0,3
18,MG066682,1.0,3
19,CY260849,1.0,3
20,CY256189,1.0,3
21,MH294839,1.0,3
22,CY264330,1.0,3
23,MG974948,1.0,3
24,MH126625,1.0,3
25,MH307034,1.0,3
26,MH127297,1.0,3
27,MH443532,1.0,3
28,MH307122,1.0,3
29,CY256165,1.0,3
30,CY245286,1.0,3
31,MH126606,1.0,3
32,CY258188,1.0,3
33,CY243471,1.0,3
34,CY238907,1.0,3
35,MG914339,0.8,5
36,MG914227,0.8,5
37,MG914099,0.8,5
38,CY264481,0.8,5
39,MH601769,0.8,5
40,MH701140,0.8,5
41,CY264092,0.8,5
42,CY256037,0.8,5
43,CY250091,0.8,5
44,CY261367,0.8,5
45,MH294721,0.8,5
46,MG279230,0.8,5
47,MF673284,0.8,5
48,MH294827,0.8,5
49,MG066684,0.8,5
50,CY250659,1.0,4
51,CY263184,1.0,3
52,CY263176,1.0,3
53,CY242054,1.0,3
54,CY247142,1.0,3
55,CY264409,1.0,3
56,CY249939,1.0,3
57,CY245134,1.0,3
58,MH600641,1.0,3
59,CY243567,1.0,3
60,MG830254,1.0,3
61,CY260511,1.0,3
62,CY258172,1.0,3
63,CY244681,1.0,3
64,MH585838,1.0,3
65,MH306723,1.0,3
66,MH306670,1.0,3
67,MH601410,1.0,3
68,CY242342,1.0,3
69,CY245238,1.0,3
70,CY244894,1.0,3
71,CY245142,1.0,3
72,CY250595,1.0,3
73,MG984289,1.0,3
74,MG984162,1.0,3
75,MG984313,1.0,3
76,CY244122,1.0,3
77,CY244265,1.0,3
78,MG279222,1.0,3
79,CY243935,1.0,3
80,CY228685,1.0,3
81,CY230666,1.0,3
82,CY227214,1.0,3
83,CY227574,1.0,3
84,CY244039,1.0,3
85,MG431377,1.0,3
86,MG431379,1.0,3
87,MG431378,1.0,3
88,MG431376,1.0,3
89,MG431381,1.0,3
90,CY244561,1.0,3
91,MG830948,1.0,3
92,CY266783,0.75,4
93,CY266503,0.75,4
94,CY266863,0.75,4
95,CY266415,0.75,4
96,CY266831,0.75,4
97,CY266655,0.75,4
98,CY266647,0.75,4
99,CY242278,0.75,4
100,CY243885,0.75,4
101,CY223101,0.75,4
102,CY216041,0.75,4
103,CY227318,0.75,4
104,CY242038,0.75,4
105,MG914259,1.0,3
106,MG914155,1.0,3
107,CY243503,1.0,3
108,CY244056,1.0,3
109,MG279246,1.0,3
110,CY234929,1.0,3
111,CY234968,1.0,3
112,CY240079,1.0,3
113,CY247134,1.0,3
114,CY266703,1.0,3
115,CY266367,1.0,3
116,CY266679,1.0,3
117,CY266471,1.0,3
118,CY226671,1.0,3
119,CY255433,1.0,3
120,MG431374,1.0,4
121,MG431371,1.0,4
122,MG431372,1.0,4
123,MG431385,1.0,4
124,MF599428,1.0,4
125,MF599426,1.0,4
126,MF599423,1.0,4
127,MG431387,1.0,4
128,MF599430,1.0,4
129,MF599429,1.0,4
130,MG431388,1.0,4
131,MG431380,1.0,4
132,MF599431,1.0,4
133,MG431389,1.0,3
134,MF599425,1.0,3
135,MG431383,1.0,3
136,MF599419,1.0,3
137,MF599422,1.0,3
138,MF599432,1.0,3
139,MG431375,1.0,3
140,MF599420,1.0,3
141,KY116222,1.0,3
142,CY243928,1.0,3
143,CY227598,1.0,3
144,CY221902,1.0,3
145,CY223125,1.0,3
146,CY223934,1.0,3
147,CY244233,1.0,3
148,CY243895,1.0,3
149,MF182521,1.0,3
150,CY210496,1.0,3
151,CY227422,1.0,3
152,CY213114,1.0,3
153,CY218198,1.0,3
154,CY226519,1.0,3
155,CY221854,1.0,3
156,CY244251,1.0,3
157,CY214346,1.0,3
158,CY220479,1.0,3
159,KY115878,1.0,3
160,CY212033,1.0,3
161,CY235456,1.0,3
162,CY219201,1.0,3
163,KY289497,1.0,3
164,CY231132,1.0,3
165,MG984158,1.0,4
166,MG984505,1.0,4
167,MG984305,1.0,4
168,MG984441,1.0,4
169,MG984345,1.0,4
170,MG984425,1.0,4
171,MG984128,1.0,4
172,MG984353,1.0,4
173,MG984489,1.0,4
174,MH131222,0.8,5
175,MH083124,0.8,5
176,MH393254,0.8,5
177,CY258348,0.8,5
178,CY265205,0.8,5
179,CY260985,0.8,5
180,CY243694,0.8,5
181,CY245054,0.8,5
182,MH601554,1.0,4
183,CY255789,1.0,4
184,MG198920,1.0,4
185,MH393252,1.0,4
186,CY260356,1.0,5
187,CY256181,1.0,5
188,MH294882,1.0,5
189,MH294726,1.0,5
190,CY263200,1.0,5
191,MH601850,1.0,5
192,CY265149,1.0,5
193,CY257989,1.0,5
194,MH127113,1.0,5
195,CY256125,1.0,5
196,CY244729,1.0,5
197,CY256117,1.0,5
198,CY255877,1.0,5
199,CY247182,1.0,5
200,CY258436,1.0,5
201,CY239992,1.0,5
202,CY250675,1.0,5
203,CY244721,1.0,5
204,CY246982,1.0,5
205,CY243758,1.0,5
206,CY261439,1.0,5
207,MH586036,1.0,5
208,CY250651,1.0,5
209,MH294727,1.0,5
210,CY255885,1.0,5
211,CY261431,1.0,5
212,CY264561,1.0,5
213,CY245398,1.0,5
214,CY258084,1.0,5
215,CY249979,1.0,4
216,MH127021,1.0,4
217,MH701396,1.0,4
218,CY260889,1.0,4
219,MH246802,1.0,4
220,CY250115,1.0,4
221,CY240031,1.0,4
222,CY249835,1.0,4
223,CY257765,1.0,4
224,CY260747,1.0,4
225,MG066683,1.0,3
226,MG066690,1.0,3
227,CY234874,1.0,3
228,CY214594,1.0,3
229,CY227118,1.0,3
230,CY222005,1.0,3
231,CY211898,1.0,3
232,CY244120,1.0,3
233,MF182500,1.0,3
234,MF182499,1.0,3
235,CY212706,1.0,3
236,CY214226,1.0,3
237,CY258999,1.0,3
238,CY258991,1.0,3
239,CY224014,1.0,3
240,CY244256,1.0,3
241,CY238569,1.0,3
242,CY234562,1.0,4
243,CY216473,1.0,4
244,MF182496,1.0,4
245,CY234810,1.0,4
246,CY232578,1.0,4
247,CY228781,1.0,4
248,CY230602,1.0,4
249,CY216193,1.0,4
250,CY244155,1.0,4
251,CY230277,1.0,4
252,CY244169,1.0,4
253,CY244156,1.0,4
254,CY244390,1.0,4
255,CY244222,1.0,4
256,CY244005,1.0,4
257,CY244229,1.0,4
258,CY234991,1.0,4
259,CY243944,1.0,4
260,CY234466,1.0,4
261,CY224094,1.0,4
262,CY214426,1.0,3
263,CY226759,0.75,4
264,CY230085,0.75,4
265,CY232356,0.75,4
266,CY234490,0.75,4
267,CY233432,0.75,4
268,CY226767,0.75,4
269,CY228933,0.75,4
270,CY233448,0.75,4
271,CY227926,0.75,4
272,CY227566,1.0,3
273,CY234682,1.0,3
274,CY227502,1.0,3
275,CY213234,1.0,3
276,CY223734,1.0,3
277,CY232610,1.0,3
278,CY222853,1.0,3
279,CY244014,1.0,3
280,CY226791,1.0,3
281,CY216121,1.0,3
282,CY220519,1.0,3
283,CY226695,1.0,3
284,CY224838,1.0,3
285,CY230738,1.0,3
286,CY223838,1.0,3
287,CY210727,1.0,3
288,CY234887,1.0,3
289,CY244136,1.0,3
290,CY234920,1.0,3
291,CY211978,1.0,3
292,CY210306,1.0,3
293,CY226655,1.0,3
294,CY226623,1.0,3
295,CY226567,1.0,3
296,CY226607,1.0,3
297,CY230538,1.0,3
298,CY214818,1.0,3
299,CY234216,1.0,3
300,CY211779,1.0,3
301,KY116182,1.0,3
302,CY235018,1.0,3
303,CY259303,1.0,3
304,CY227526,1.0,3
305,CY212041,1.0,3
306,CY244171,1.0,3
307,CY250547,1.0,3
308,CY240055,1.0,3
309,CY222805,1.0,3
310,CY228805,1.0,3
311,KY289450,1.0,3
312,CY222965,1.0,3
313,CY210807,1.0,3
314,CY216049,1.0,3
315,CY222917,1.0,3
316,CY220255,1.0,3
317,CY243965,1.0,3
318,CY243901,1.0,3
319,CY239713,1.0,3
320,CY210583,1.0,3
321,CY235840,1.0,3
322,CY216561,1.0,3
323,CY216017,1.0,3
324,CY243947,1.0,3
325,CY227694,1.0,3
326,KY435815,1.0,3
327,CY234936,1.0,3
328,CY244022,1.0,3
329,CY243894,1.0,3
330,MF182528,1.0,3
331,MF182527,1.0,3
332,KY583625,1.0,3
333,CY244235,1.0,3
334,CY244048,1.0,3
335,CY243980,1.0,3
336,KY949820,1.0,3
337,CY244553,1.0,3
338,KY950005,1.0,3
339,KY949883,1.0,3
340,KY950048,1.0,3
341,CY228429,1.0,3
342,CY244040,1.0,3
343,CY235880,1.0,3
344,CY238561,1.0,3
345,CY230642,1.0,3
346,CY228869,1.0,3
347,CY216481,1.0,3
348,CY214434,1.0,3
349,CY223886,1.0,3
350,KY949900,1.0,3
351,CY227134,1.0,3
352,KY950099,1.0,2
353,CY222989,1.0,2
354,CY234674,1.0,2
355,CY226639,1.0,2
356,CY211994,1.0,2
357,CY224118,1.0,2
358,CY216777,1.0,2
359,CY227398,1.0,2
360,CY215162,1.0,2
361,CY216281,1.0,2
362,CY215945,1.0,2
363,CY216689,1.0,2
364,CY230229,1.0,2
365,CY243921,1.0,2
366,CY243927,1.0,2
367,KY583706,1.0,2
368,CY243952,1.0,2
369,MG279294,1.0,3
370,CY234634,1.0,3
371,CY234934,1.0,3
372,KY583709,1.0,3
373,CY244132,1.0,3
374,CY243968,1.0,3
375,CY244409,1.0,3
376,MF182513,1.0,3
377,CY244104,1.0,3
378,CY244073,1.0,3
379,CY234940,1.0,2
380,CY244196,1.0,2
381,KY583708,1.0,2
382,CY243941,1.0,2
383,KY583624,1.0,2
384,CY244274,1.0,2
385,CY238394,1.0,2
386,CY213250,1.0,2
387,CY238298,1.0,2
388,CY235010,1.0,2
389,CY259375,1.0,2
390,CY221981,1.0,2
391,CY245334,0.8,5
392,CY245318,0.8,5
393,CY235976,0.8,5
394,CY245118,0.8,5
395,CY260710,0.8,5
396,CY244285,0.8,5
397,CY245070,0.8,5
398,CY242398,0.8,5
399,CY235872,0.8,5
400,CY230285,0.75,4
401,CY227430,0.75,4
