,WHO,tip,size,ratio
0,3c2.A,MH358630,3,1.0
1,3c2.A,MH601026,3,1.0
2,3c2.A,MH600844,3,1.0
3,3c2.A,CY264353,3,1.0
4,3c2.A,MH082804,3,1.0
5,3c2.A,MH600710,3,1.0
6,3c2.A,MH358662,3,1.0
7,3c2.A,MH601049,3,1.0
8,3c2.A,CY261535,3,1.0
9,3c2.A,CY250107,3,1.0
10,3c2.A,MH601339,3,1.0
11,3c2.A,CY258180,3,1.0
12,3c2.A,MH126585,3,1.0
13,3c2.A,MH307266,3,1.0
14,3c2.A,MH127241,3,1.0
15,3c2.A,CY264870,3,1.0
16,3c2.A,CY234626,3,1.0
17,3c2.A,MF673285,3,1.0
18,3c2.A,MG066682,3,1.0
19,3c2.A,CY260849,3,1.0
20,3c2.A,CY256189,3,1.0
21,3c2.A,MH294839,3,1.0
22,3c2.A,CY264330,3,1.0
23,3c2.A,MG974948,3,1.0
24,3c2.A,MH126625,3,1.0
25,3c2.A,MH307034,3,1.0
26,3c2.A,MH127297,3,1.0
27,3c2.A,MH443532,3,1.0
28,3c2.A,MH307122,3,1.0
29,3c2.A,CY256165,3,1.0
30,3c2.A,CY245286,3,1.0
31,3c2.A,MH126606,3,1.0
32,3c2.A,CY258188,3,1.0
33,3c2.A,CY243471,3,1.0
34,3c2.A,CY238907,3,1.0
35,3c2.A,MG914339,5,0.8
36,3c2.A,MG914227,5,0.8
37,3c2.A,MG914099,5,0.8
38,3c2.A,CY264481,5,0.8
39,3c2.A,MH601769,5,0.8
40,3c2.A,MH701140,5,0.8
41,3c2.A,CY264092,5,0.8
42,3c2.A,CY256037,5,0.8
43,3c2.A,CY250091,5,0.8
44,3c2.A,CY261367,5,0.8
45,3c2.A,MH294721,5,0.8
46,3c2.A,MG279230,5,0.8
47,3c2.A,MF673284,5,0.8
48,3c2.A,MH294827,5,0.8
49,3c2.A,MG066684,5,0.8
50,3c2.A,CY250659,4,1.0
51,3c2.A,CY263184,3,1.0
52,3c2.A,CY263176,3,1.0
53,3c2.A,CY242054,3,1.0
54,3c2.A,CY247142,3,1.0
55,3c2.A,CY264409,3,1.0
56,3c2.A,CY249939,3,1.0
57,3c2.A,CY245134,3,1.0
58,3c2.A,MH600641,3,1.0
59,3c2.A,CY243567,3,1.0
60,3c2.A,MG830254,3,1.0
61,3c2.A,CY260511,3,1.0
62,3c2.A,CY258172,3,1.0
63,3c2.A,CY244681,3,1.0
64,3c2.A,MH585838,3,1.0
65,3c2.A,MH306723,3,1.0
66,3c2.A,MH306670,3,1.0
67,3c2.A,MH601410,3,1.0
68,3c2.A,CY242342,3,1.0
69,3c2.A,CY245238,3,1.0
70,3c2.A,CY244894,3,1.0
71,3c2.A,CY250595,3,1.0
72,3c2.A,MG984289,3,1.0
73,3c2.A,MG984162,3,1.0
74,3c2.A,MG984313,3,1.0
75,3c2.A,MG279222,3,1.0
76,3c2.A,CY243935,3,1.0
77,3c2.A,CY228685,3,1.0
78,3c2.A,CY230666,3,1.0
79,3c2.A,CY227214,3,1.0
80,3c2.A,CY227574,3,1.0
81,3c2.A,CY244039,3,1.0
82,3c2.A,MG431377,3,1.0
83,3c2.A,MG431379,3,1.0
84,3c2.A,MG431378,3,1.0
85,3c2.A,MG431376,3,1.0
86,3c2.A,MG431381,3,1.0
87,3c2.A,CY244561,3,1.0
88,3c2.A,MG830948,3,1.0
89,3c2.A,CY266783,4,0.75
90,3c2.A,CY266503,4,0.75
91,3c2.A,CY266863,4,0.75
92,3c2.A,CY266415,4,0.75
93,3c2.A,CY266831,4,0.75
94,3c2.A,CY266655,4,0.75
95,3c2.A,CY266647,4,0.75
96,3c2.A,CY242278,4,0.75
97,3c2.A,CY243885,4,0.75
98,3c2.A,CY223101,4,0.75
99,3c2.A,CY216041,4,0.75
100,3c2.A,CY227318,4,0.75
101,3c2.A,CY242038,4,0.75
102,3c2.A,MG914259,3,1.0
103,3c2.A,MG914155,3,1.0
104,3c2.A,CY243503,3,1.0
105,3c2.A,CY244056,3,1.0
106,3c2.A,MG279246,3,1.0
107,3c2.A,CY234929,3,1.0
108,3c2.A,CY234968,3,1.0
109,3c2.A,CY240079,3,1.0
110,3c2.A,CY247134,3,1.0
111,3c2.A,CY266703,3,1.0
112,3c2.A,CY266367,3,1.0
113,3c2.A,CY266471,3,1.0
114,3c2.A,CY226671,3,1.0
115,3c2.A,CY255433,3,1.0
116,3c2.A,MG431374,4,1.0
117,3c2.A,MG431371,4,1.0
118,3c2.A,MG431372,4,1.0
119,3c2.A,MG431385,4,1.0
120,3c2.A,MF599428,4,1.0
121,3c2.A,MF599426,4,1.0
122,3c2.A,MF599423,4,1.0
123,3c2.A,MG431387,4,1.0
124,3c2.A,MF599430,4,1.0
