"","tiplabel","longlabel","stringdates","refclade"
"1","MH358630","MH358630,A/Georgia/24/2018,2018/03/21","2018/03/21","A1b/135K"
"2","MH601026","MH601026,A/Utah/31/2018,2018/04/24","2018/04/24","A1b/135K"
"3","MH600844","MH600844,A/Minnesota/27/2018,2018/03/28","2018/03/28","A1b/135K"
"4","CY264353","CY264353,A/Wisconsin/340/2017,2017/12/09","2017/12/09","A1b/135K"
"5","MH082804","MH082804,A/Pennsylvania/44/2018,2018/01/19","2018/01/19","A1b/135K"
"6","MH600710","MH600710,A/Hawaii/35/2018,2018/03/21","2018/03/21","A1b/135K"
"7","MH358662","MH358662,A/Indiana/20/2018,2018/03/23","2018/03/23","A1b/135K"
"8","MH601049","MH601049,A/Virginia/45/2018,2018/04/11","2018/04/11","A1b/135K"
"9","CY261535","CY261535,A/Louisiana/63/2017,2017/11/14","2017/11/14","A1b/135K"
"10","CY250107","CY250107,A/Louisiana/53/2017,2017/10/04","2017/10/04","A1b/135K"
"11","MH601339","MH601339,A/Florida/111/2017,2017/09/28","2017/09/28","A1b/135K"
"12","CY258180","CY258180,A/New","8180,A/New","A1b/135K"
"13","MH126585","MH126585,A/Connecticut/08/2018,2018/01/29","2018/01/29","A1b/135K"
"14","MH307266","MH307266,A/Texas/71/2018,2018/01/23","2018/01/23","A1b/135K"
"15","MH127241","MH127241,A/Texas/71/2018,2018/01/23","2018/01/23","A1b/135K"
"16","CY264870","CY264870,A/Montana/41/2017,2017/12/07","2017/12/07","A1b/135K"
"17","CY234626","CY234626,A/Wisconsin/49/2017,2017/04/20","2017/04/20","A1b/135K"
"18","MF673285","MF673285,A/Thailand/CU-B21873/2017,2017/05/15","2017/05/15","A1b/135K"
"19","MG066682","MG066682,A/Israel/C4912/2017,2017/05/22","2017/05/22","A1b/135K"
"20","CY260849","CY260849,A/California/120/2017,2017/11/06","2017/11/06","A1b/135K"
"21","CY256189","CY256189,A/Hawaii/51/2017,2017/10/02","2017/10/02","A1b/135K"
"22","MH294839","MH294839,A/Japan/6473/2017,2017/12/12","2017/12/12","A1b/135K"
"23","CY264330","CY264330,A/New","4330,A/New","A1b/135K"
"24","MG974948","MG974948,A/Vermont/18/2017,2017/12/26","2017/12/26","A1b/135K"
"25","MH126625","MH126625,A/Delaware/06/2018,2018/01/26","2018/01/26","A1b/135K"
"26","MH307034","MH307034,A/Maryland/13/2018,2018/02/08","2018/02/08","A1b/135K"
"27","MH127297","MH127297,A/Utah/05/2018,2018/01/11","2018/01/11","A1b/135K"
"28","MH443532","MH443532,A/Kansas/11/2018,2018/01/09","2018/01/09","A1b/135K"
"29","MH307122","MH307122,A/New","7122,A/New","A1b/135K"
"30","CY256165","CY256165,A/Washington/303/2017,2017/09/28","2017/09/28","A1b/135K"
"31","CY245286","CY245286,A/Mississippi/20/2017,2017/09/03","2017/09/03","A1b/135K"
"32","MH126606","MH126606,A/Delaware/03/2018,2018/01/19","2018/01/19","A1b/135K"
"33","CY258188","CY258188,A/New","8188,A/New","A1b/135K"
"34","CY243471","CY243471,A/South","71,A/South","A1b/135K"
"35","CY238907","CY238907,A/Florida/42/2017,2017/06/07","2017/06/07","A1b/135K"
"36","MG914339","MG914339,A/California/NHRC_SAR20944N/2017,2017/12/02","2017/12/02","A1b/135K"
"37","MG914227","MG914227,A/California/NHRC_BRD41755N/2017,2017/12/18","2017/12/18","A1b/135K"
"38","MG914099","MG914099,A/Arizona/NHRC_MAP6073A/2017,2017/11/14","2017/11/14","A1b/135K"
"39","CY264481","CY264481,A/Arizona/70/2017,2017/11/24","2017/11/24","A1b/135K"
"40","MH601769","MH601769,A/Missouri/34/2018,2018/02/02","2018/02/02","A1b/135K"
"41","MH701140","MH701140,A/California/BRD21647N/2018,2018/01/02","2018/01/02","A1b/135K"
"42","CY264092","CY264092,A/Arizona/66/2017,2017/11/07","2017/11/07","A1b/135K"
"43","CY256037","CY256037,A/Arizona/53/2017,2017/10/02","2017/10/02","A1b/135K"
"44","CY250091","CY250091,A/Montana/19/2017,2017/09/23","2017/09/23","A1b/135K"
"45","CY261367","CY261367,A/California/128/2017,2017/10/30","2017/10/30","A1b/135K"
"46","MH294721","MH294721,A/Mississippi/6374/2017,2017/09/29","2017/09/29","A1b/135K"
"47","MG279230","MG279230,A/Singapore/NHRC_RGN0210/2017,2017/07/04","2017/07/04","A1b/135K"
"48","MF673284","MF673284,A/Thailand/CU-CN148/2017,2017/04/26","2017/04/26","A1b/135K"
"49","MH294827","MH294827,A/Florida/6461/2017,2017/12/13","2017/12/13","A1b/135K"
"50","MG066684","MG066684,A/Israel/C6061/2017,2017/08/01","2017/08/01","A1b/135K"
"51","CY250659","CY250659,A/Texas/291/2017,2017/10/19","2017/10/19","A1b/135K"
"52","CY263184","CY263184,A/Virginia/35/2017,2017/11/24","2017/11/24","A1b/135K"
