name	nbCladesAll	nbCladesSpec	cladesAll	cladesSpec
CY150347	1	1	1A	1A
CY175537	1	1	1A	1A
CY154210	1	1	1A	1A
CY154386	1	1	1A	1A
CY175921	1	1	1A	1A
CY175985	1	1	1A	1A
CY153866	1	1	1A	1A
CY154466	1	1	1A	1A
CY154098	1	1	1A	1A
CY154250	1	1	1A	1A
CY154562	1	1	1A	1A
CY154594	1	1	1A	1A
CY154378	1	1	1A	1A
CY154570	1	1	1A	1A
CY150331	1	1	1A	1A
CY173900	1	1	1A	1A
CY153978	1	1	1A	1A
CY154002	1	1	1A	1A
CY175761	1	1	1A	1A
CY175857	1	1	1A	1A
CY173727	1	1	1A	1A
CY181473	1	1	1A	1A
CY154554	1	1	1A	1A
CY154282	1	1	1A	1A
CY175713	1	1	1A	1A
CY175745	1	1	1A	1A
CY175913	1	1	1A	1A
CY175785	1	1	1A	1A
CY175953	1	1	1A	1A
CY181481	1	1	1A	1A
CY175625	1	1	1A	1A
CY154306	1	1	1A	1A
CY175897	1	1	1A	1A
CY154490	1	1	1A	1A
CY175873	1	1	1A	1A
CY175977	1	1	1A	1A
CY175505	1	1	1A	1A
CY175561	1	1	1A	1A
CY175769	1	1	1A	1A
CY175665	1	1	1A	1A
CY264001	1	1	1A	1A
CY264017	1	1	1A	1A
MK961482	1	1	1A	1A
MK961752	1	1	1A	1A
MK961649	1	1	1A	1A
CY182441	1	1	1A	1A
CY182409	1	1	1A	1A
CY182433	1	1	1A	1A
CY182537	1	1	1A	1A
CY182377	1	1	1A	1A
CY182385	1	1	1A	1A
CY182585	1	1	1A	1A
CY182545	1	1	1A	1A
CY182529	1	1	1A	1A
CY175929	1	1	1A	1A
CY175569	1	1	1A	1A
CY173719	1	1	1A	1A
CY175705	1	1	1A	1A
MH703066	1	1	1A	1A
KJ683771	1	1	1A	1A
KJ683772	1	1	1A	1A
KJ683773	1	1	1A	1A
KJ683774	1	1	1A	1A
KJ683769	1	1	1A	1A
KJ683770	1	1	1A	1A
KJ683768	1	1	1A	1A
CY112229	1	1	1A	1A
MH703067	1	1	1A	1A
CY149957	1	1	1A	1A
CY150096	1	1	1A	1A
CY153010	1	1	1A	1A
CY153338	1	1	1A	1A
CY153170	1	1	1A	1A
CY175369	1	1	1A	1A
CY175417	1	1	1A	1A
CY173884	1	1	1A	1A
CY152994	1	1	1A	1A
CY152946	1	1	1A	1A
CY153210	1	1	1A	1A
CY153130	1	1	1A	1A
CY150055	1	1	1A	1A
CY175361	1	1	1A	1A
CY150121	1	1	1A	1A
CY173876	1	1	1A	1A
CY153058	1	1	1A	1A
CY153250	1	1	1A	1A
CY153018	1	1	1A	1A
CY175345	1	1	1A	1A
CY175449	1	1	1A	1A
CY176345	1	1	1A	1A
CY149991	1	1	1A	1A
CY153290	1	1	1A	1A
CY150113	1	1	1A	1A
CY153082	1	1	1A	1A
CY153186	1	1	1A	1A
CY153138	1	1	1A	1A
CY153370	1	1	1A	1A
CY150015	1	1	1A	1A
CY153362	1	1	1A	1A
CY150007	1	1	1A	1A
CY175425	1	1	1A	1A
CY175433	1	1	1A	1A
CY175377	1	1	1A	1A
CY175481	1	1	1A	1A
CY175737	1	1	1A	1A
CY153410	1	1	1A	1A
CY150154	1	1	1A	1A
CY175441	1	1	1A	1A
CY150047	1	1	1A	1A
CY175385	1	1	1A	1A
CY175393	1	1	1A	1A
CY153402	1	1	1A	1A
CY153794	1	1	1A	1A
CY154274	1	1	1A	1A
CY154314	1	1	1A	1A
CY154170	1	1	1A	1A
CY154498	1	1	1A	1A
CY154234	1	1	1A	1A
CY154538	1	1	1A	1A
CY154162	1	1	1A	1A
CY154114	1	1	1A	1A
CY154138	1	1	1A	1A
CY175553	1	1	1A	1A
CY154506	1	1	1A	1A
CY154610	1	1	1A	1A
CY153922	1	1	1A	1A
CY153890	1	1	1A	1A
CY154450	1	1	1A	1A
CY154514	1	1	1A	1A
CY154330	1	1	1A	1A
CY153938	1	1	1A	1A
CY154362	1	1	1A	1A
CY150275	1	1	1A	1A
CY154618	1	1	1A	1A
CY154130	1	1	1A	1A
CY154194	1	1	1A	1A
CY153874	1	1	1A	1A
CY154258	1	1	1A	1A
CY154154	1	1	1A	1A
CY153906	1	1	1A	1A
CY173764	1	1	1A	1A
CY153770	1	1	1A	1A
CY173703	1	1	1A	1A
CY173750	1	1	1A	1A
CY173772	1	1	1A	1A
CY171807	1	1	1A	1A
CY171823	1	1	1A	1A
CY171879	1	1	1A	1A
CY171911	1	1	1A	1A
CY171975	1	1	1A	1A
CY172071	1	1	1A	1A
CY171839	1	1	1A	1A
CY171871	1	1	1A	1A
CY171815	1	1	1A	1A
CY171775	1	1	1A	1A
CY171927	1	1	1A	1A
CY171743	1	1	1A	1A
CY171943	1	1	1A	1A
CY191555	1	1	1A	1A
CY171831	1	1	1A	1A
CY176081	1	1	1A	1A
CY176145	1	1	1A	1A
CY173786	1	1	1A	1A
CY176281	1	1	1A	1A
CY176313	1	1	1A	1A
CY188785	1	1	1A	1A
MK961673	1	1	1A	1A
CY182561	1	1	1A	1A
CY263857	1	1	1A	1A
MK961736	1	1	1A	1A
CY264009	1	1	1A	1A
MK961880	1	1	1A	1A
CY182417	1	1	1A	1A
CY182505	1	1	1A	1A
CY182393	1	1	1A	1A
CY263961	1	1	1A	1A
CY182617	1	1	1A	1A
CY182521	1	1	1A	1A
CY176249	1	1	1A	1A
CY173793	1	1	1A	1A
CY182577	1	1	1A	1A
CY172063	1	1	1A	1A
CY172103	1	1	1A	1A
CY263969	1	1	1A	1A
CY172047	1	1	1A	1A
CY176049	1	1	1A	1A
CY173861	1	1	1A	1A
CY176185	1	1	1A	1A
CY176057	1	1	1A	1A
CY171855	1	1	1A	1A
CY171999	1	1	1A	1A
CY171895	1	1	1A	1A
CY171935	1	1	1A	1A
CY171991	1	1	1A	1A
CY172023	1	1	1A	1A
CY176097	1	1	1A	1A
CY176305	1	1	1A	1A
CY171759	1	1	1A	1A
CY172079	1	1	1A	1A
CY171751	1	1	1A	1A
CY188793	1	1	1A	1A
CY263985	1	1	1A	1A
CY182497	1	1	1A	1A
MK961617	1	1	1A	1A
CY182425	1	1	1A	1A
CY182641	1	1	1A	1A
CY182657	1	1	1A	1A
CY182449	1	1	1A	1A
CY182369	1	1	1A	1A
CY153834	1	1	1A	1A
CY153882	1	1	1A	1A
CY153850	1	1	1A	1A
CY171903	1	1	1A	1A
CY171951	1	1	1A	1A
CY181505	1	1	1A	1A
CY176089	1	1	1A	1A
CY176073	1	1	1A	1A
CY176169	1	1	1A	1A
CY153538	1	1	1A	1A
KR073373	1	1	1A	1A
KR073352	1	1	1A	1A
KR073337	1	1	1A	1A
KR073343	1	1	1A	1A
KR073349	1	1	1A	1A
KR073353	1	1	1A	1A
KR073361	1	1	1A	1A
KR073338	1	1	1A	1A
KR073382	1	1	1A	1A
KR073348	1	1	1A	1A
KR073326	1	1	1A	1A
KR073355	1	1	1A	1A
KR073356	1	1	1A	1A
KR073358	1	1	1A	1A
KR073334	1	1	1A	1A
KR073335	1	1	1A	1A
KR073375	1	1	1A	1A
KR073378	1	1	1A	1A
KR073386	1	1	1A	1A
KR073394	1	1	1A	1A
KR073399	1	1	1A	1A
KR073429	1	1	1A	1A
KR073468	1	1	1A	1A
KR073390	1	1	1A	1A
KR073393	1	1	1A	1A
