tip,WHO
MH358630,3c2.A
MH601026,3c2.A
MH600844,3c2.A
CY264353,3c2.A
MH082804,3c2.A
MH600710,3c2.A
MH358662,3c2.A
MH601049,3c2.A
CY261535,3c2.A
CY250107,3c2.A
MH601339,3c2.A
CY258180,3c2.A
MH126585,3c2.A
MH307266,3c2.A
MH127241,3c2.A
CY264870,3c2.A
CY234626,3c2.A
MF673285,3c2.A
MG066682,3c2.A
CY260849,3c2.A
CY256189,3c2.A
MH294839,3c2.A
CY264330,3c2.A
MG974948,3c2.A
MH126625,3c2.A
MH307034,3c2.A
MH127297,3c2.A
MH443532,3c2.A
MH307122,3c2.A
CY256165,3c2.A
CY245286,3c2.A
MH126606,3c2.A
CY258188,3c2.A
CY243471,3c2.A
CY238907,3c2.A
MG914339,3c2.A
MG914227,3c2.A
MG914099,3c2.A
CY264481,3c2.A
MH601769,3c2.A
MH701140,3c2.A
CY264092,3c2.A
CY256037,3c2.A
CY250091,3c2.A
CY261367,3c2.A
MH294721,3c2.A
MG279230,3c2.A
MF673284,3c2.A
MH294827,3c2.A
MG066684,3c2.A
CY250659,3c2.A
CY263184,3c2.A
CY263176,3c2.A
CY242054,3c2.A
CY247142,3c2.A
CY264409,3c2.A
CY249939,3c2.A
CY245134,3c2.A
MH600641,3c2.A
CY243567,3c2.A
MG830254,3c2.A
CY260511,3c2.A
CY258172,3c2.A
CY244681,3c2.A
MH585838,3c2.A
MH306723,3c2.A
MH306670,3c2.A
MH601410,3c2.A
CY242342,3c2.A
CY245238,3c2.A
CY244894,3c2.A
CY250595,3c2.A
MG984289,3c2.A
MG984162,3c2.A
MG984313,3c2.A
MG279222,3c2.A
CY243935,3c2.A
CY228685,3c2.A
CY230666,3c2.A
CY227214,3c2.A
CY227574,3c2.A
CY244039,3c2.A
MG431377,3c2.A
MG431379,3c2.A
MG431378,3c2.A
MG431376,3c2.A
MG431381,3c2.A
CY244561,3c2.A
MG830948,3c2.A
CY266783,3c2.A
CY266503,3c2.A
CY266863,3c2.A
CY266415,3c2.A
CY266831,3c2.A
CY266655,3c2.A
CY266647,3c2.A
CY242278,3c2.A
CY243885,3c2.A
CY223101,3c2.A
CY216041,3c2.A
CY227318,3c2.A
CY242038,3c2.A
MG914259,3c2.A
MG914155,3c2.A
CY243503,3c2.A
CY244056,3c2.A
MG279246,3c2.A
CY234929,3c2.A
CY234968,3c2.A
CY240079,3c2.A
CY247134,3c2.A
CY266703,3c2.A
CY266367,3c2.A
CY266471,3c2.A
CY226671,3c2.A
CY255433,3c2.A
MG431374,3c2.A
MG431371,3c2.A
MG431372,3c2.A
MG431385,3c2.A
MF599428,3c2.A
MF599426,3c2.A
MF599423,3c2.A
MG431387,3c2.A
MF599430,3c2.A
MF599429,3c2.A
MG431388,3c2.A
MG431380,3c2.A
MF599431,3c2.A
MG431389,3c2.A
MF599425,3c2.A
MG431383,3c2.A
MF599419,3c2.A
MF599422,3c2.A
MF599432,3c2.A
MG431375,3c2.A
MF599420,3c2.A
KY116222,3c2.A
CY243928,3c2.A
CY227598,3c2.A
CY221902,3c2.A
CY223125,3c2.A
CY223934,3c2.A
CY244233,3c2.A
CY243895,3c2.A
MF182521,3c2.A
CY210496,3c2.A
CY227422,3c2.A
CY213114,3c2.A
CY218198,3c2.A
CY221854,3c2.A
CY244251,3c2.A
CY214346,3c2.A
CY220479,3c2.A
KY115878,3c2.A
CY212033,3c2.A
CY235456,3c2.A
CY219201,3c2.A
KY289497,3c2.A
CY231132,3c2.A
MG984158,3c2.A
MG984505,3c2.A
MG984305,3c2.A
MG984425,3c2.A
MG984128,3c2.A
MG984353,3c2.A
MG984489,3c2.A
MH131222,3c2.A
MH083124,3c2.A
MH393254,3c2.A
CY258348,3c2.A
CY265205,3c2.A
CY260985,3c2.A
CY243694,3c2.A
CY245054,3c2.A
MH601554,3c2.A
CY255789,3c2.A
MG198920,3c2.A
MH393252,3c2.A
CY260356,3c2.A
CY256181,3c2.A
MH294882,3c2.A
MH294726,3c2.A
CY263200,3c2.A
MH601850,3c2.A
CY265149,3c2.A
CY257989,3c2.A
MH127113,3c2.A
CY256125,3c2.A
CY244729,3c2.A
CY256117,3c2.A
CY255877,3c2.A
CY247182,3c2.A
CY258436,3c2.A
CY239992,3c2.A
CY250675,3c2.A
CY244721,3c2.A
CY246982,3c2.A
CY243758,3c2.A
CY261439,3c2.A
MH586036,3c2.A
CY250651,3c2.A
MH294727,3c2.A
CY255885,3c2.A
CY261431,3c2.A
CY264561,3c2.A
CY245398,3c2.A
CY258084,3c2.A
CY249979,3c2.A
MH127021,3c2.A
MH701396,3c2.A
CY260889,3c2.A
MH246802,3c2.A
CY250115,3c2.A
CY240031,3c2.A
CY249835,3c2.A
CY257765,3c2.A
CY260747,3c2.A
MG066690,3c2.A
CY234874,3c2.A
CY214594,3c2.A
CY227118,3c2.A
CY222005,3c2.A
CY211898,3c2.A
CY244120,3c2.A
MF182500,3c2.A
MF182499,3c2.A
CY212706,3c2.A
CY214226,3c2.A
CY224014,3c2.A
CY244256,3c2.A
CY238569,3c2.A
CY234562,3c2.A
CY216473,3c2.A
MF182496,3c2.A
CY234810,3c2.A
CY232578,3c2.A
CY228781,3c2.A
CY230602,3c2.A
CY216193,3c2.A
CY244155,3c2.A
CY230277,3c2.A
CY244169,3c2.A
CY244156,3c2.A
CY244390,3c2.A
CY244222,3c2.A
CY244005,3c2.A
CY244229,3c2.A
CY234991,3c2.A
CY243944,3c2.A
CY234466,3c2.A
CY224094,3c2.A
CY214426,3c2.A
CY226759,3c2.A
CY232356,3c2.A
CY234490,3c2.A
CY233432,3c2.A
CY226767,3c2.A
CY228933,3c2.A
CY233448,3c2.A
CY227566,3c2.A
CY234682,3c2.A
CY213234,3c2.A
CY223734,3c2.A
CY232610,3c2.A
CY222853,3c2.A
CY244014,3c2.A
CY226791,3c2.A
CY216121,3c2.A
CY220519,3c2.A
CY226695,3c2.A
CY224838,3c2.A
CY230738,3c2.A
CY223838,3c2.A
CY210727,3c2.A
CY234887,3c2.A
CY244136,3c2.A
CY234920,3c2.A
CY211978,3c2.A
CY210306,3c2.A
CY226655,3c2.A
CY226623,3c2.A
CY226567,3c2.A
CY226607,3c2.A
CY230538,3c2.A
CY214818,3c2.A
CY234216,3c2.A
CY211779,3c2.A
KY116182,3c2.A
CY235018,3c2.A
CY259303,3c2.A
CY227526,3c2.A
CY212041,3c2.A
CY244171,3c2.A
CY250547,3c2.A
CY240055,3c2.A
CY222805,3c2.A
CY228805,3c2.A
KY289450,3c2.A
CY222965,3c2.A
CY210807,3c2.A
CY216049,3c2.A
CY222917,3c2.A
CY220255,3c2.A
CY243965,3c2.A
CY243901,3c2.A
CY239713,3c2.A
CY210583,3c2.A
CY235840,3c2.A
CY216561,3c2.A
CY216017,3c2.A
CY243947,3c2.A
CY227694,3c2.A
KY435815,3c2.A
CY234936,3c2.A
CY244022,3c2.A
MF182528,3c2.A
MF182527,3c2.A
KY583625,3c2.A
CY244235,3c2.A
CY244048,3c2.A
CY243980,3c2.A
KY949820,3c2.A
KY950005,3c2.A
KY949883,3c2.A
CY235880,3c2.A
CY238561,3c2.A
CY230642,3c2.A
CY228869,3c2.A
CY216481,3c2.A
CY214434,3c2.A
CY223886,3c2.A
KY949900,3c2.A
CY227134,3c2.A
KY950099,3c2.A
CY222989,3c2.A
CY234674,3c2.A
CY226639,3c2.A
CY211994,3c2.A
CY224118,3c2.A
CY216777,3c2.A
CY227398,3c2.A
CY215162,3c2.A
CY216281,3c2.A
CY215945,3c2.A
CY216689,3c2.A
CY230229,3c2.A
CY243921,3c2.A
CY243927,3c2.A
KY583706,3c2.A
CY243952,3c2.A
MG279294,3c2.A
CY234634,3c2.A
CY234934,3c2.A
KY583709,3c2.A
CY244132,3c2.A
CY243968,3c2.A
CY244409,3c2.A
MF182513,3c2.A
CY244104,3c2.A
CY244073,3c2.A
CY234940,3c2.A
CY244196,3c2.A
KY583708,3c2.A
CY243941,3c2.A
KY583624,3c2.A
CY244274,3c2.A
CY238394,3c2.A
CY213250,3c2.A
CY238298,3c2.A
CY235010,3c2.A
CY259375,3c2.A
CY221981,3c2.A
CY245334,3c2.A
CY245318,3c2.A
CY235976,3c2.A
CY245118,3c2.A
CY260710,3c2.A
CY244285,3c2.A
CY242398,3c2.A
CY235872,3c2.A
CY230285,3c2.A
CY227430,3c2.A
CY242078,3c2.A
MH082740,3c2.A
CY214634,3c2.A
MG974394,3c2.A
MH082172,3c2.A
MG974402,3c2.A
CY250579,3c2.A
CY255837,3c2.A
CY242326,3c2.A
CY233400,3c2.A
CY234698,3c2.A
MH586380,3c2.A
MH083064,3c2.A
CY258156,3c2.A
MH082684,3c2.A
CY227222,3c2.A
CY226535,3c2.A
CY212690,3c2.A
CY235864,3c2.A
CY244134,3c2.A
MF182520,3c2.A
CY220367,3c2.A
CY244026,3c2.A
CY235952,3c2.A
CY235616,3c2.A
CY235624,3c2.A
CY216137,3c2.A
CY223950,3c2.A
CY230650,3c2.A
CY235784,3c2.A
CY244705,3c2.A
CY223918,3c2.A
CY226831,3c2.A
CY214802,3c2.A
CY244070,3c2.A
CY220375,3c2.A
CY208968,3c2.A
CY228701,3c2.A
CY220487,3c2.A
CY216009,3c2.A
CY225230,3c2.A
CY227614,3c2.A
CY222893,3c2.A
CY233370,3c2.A
CY226703,3c2.A
KY115982,3c2.A
CY226823,3c2.A
CY238274,3c2.A
CY220535,3c2.A
MF182510,3c2.A
CY244269,3c2.A
CY216537,3c2.A
CY222869,3c2.A
CY233259,3c2.A
CY220055,3c2.A
CY210575,3c2.A
CY227582,3c2.A
CY227710,3c2.A
KY950007,3c2.A
KY950120,3c2.A
KY949661,3c2.A
CY230301,3c2.A
CY244133,3c2.A
CY244052,3c2.A
CY244094,3c2.A
CY214362,3c2.A
CY209408,3c2.A
CY212802,3c2.A
KY950063,3c2.A
CY243870,3c2.A
CY244207,3c2.A
CY234972,3c2.A
CY243495,3c2.A
CY214922,3c2.A
KY949711,3c2.A
KY289619,3c2.A
CY223181,3c2.A
CY212010,3c2.A
KY003480,3c2.A
KY289109,3c2.A
CY232547,3c2.A
CY255169,3c2.A
KX916892,3c2.A
MH358630,3c2.A
MH601026,3c2.A
MH600844,3c2.A
CY264353,3c2.A
MH082804,3c2.A
MH600710,3c2.A
MH358662,3c2.A
MH601049,3c2.A
CY261535,3c2.A
CY250107,3c2.A
MH601339,3c2.A
CY258180,3c2.A
MH126585,3c2.A
MH307266,3c2.A
MH127241,3c2.A
CY264870,3c2.A
CY234626,3c2.A
MF673285,3c2.A
MG066682,3c2.A
CY260849,3c2.A
CY256189,3c2.A
MH294839,3c2.A
CY264330,3c2.A
MG974948,3c2.A
MH126625,3c2.A
MH307034,3c2.A
MH127297,3c2.A
MH443532,3c2.A
MH307122,3c2.A
CY256165,3c2.A
CY245286,3c2.A
MH126606,3c2.A
CY258188,3c2.A
CY243471,3c2.A
CY238907,3c2.A
MG914339,3c2.A
MG914227,3c2.A
MG914099,3c2.A
CY264481,3c2.A
MH601769,3c2.A
MH701140,3c2.A
CY264092,3c2.A
CY256037,3c2.A
CY250091,3c2.A
CY261367,3c2.A
MH294721,3c2.A
MG279230,3c2.A
MF673284,3c2.A
MH294827,3c2.A
MG066684,3c2.A
CY250659,3c2.A
CY263184,3c2.A
CY263176,3c2.A
CY242054,3c2.A
CY247142,3c2.A
CY264409,3c2.A
CY249939,3c2.A
CY245134,3c2.A
MH600641,3c2.A
CY243567,3c2.A
MG830254,3c2.A
CY260511,3c2.A
CY258172,3c2.A
CY244681,3c2.A
MH585838,3c2.A
MH306723,3c2.A
MH306670,3c2.A
MH601410,3c2.A
CY242342,3c2.A
CY245238,3c2.A
CY244894,3c2.A
CY250595,3c2.A
MG984289,3c2.A
MG984162,3c2.A
MG984313,3c2.A
MG279222,3c2.A
CY243935,3c2.A
CY228685,3c2.A
CY230666,3c2.A
CY227214,3c2.A
CY227574,3c2.A
CY244039,3c2.A
MG431377,3c2.A
MG431379,3c2.A
MG431378,3c2.A
MG431376,3c2.A
MG431381,3c2.A
CY244561,3c2.A
MG830948,3c2.A
CY266783,3c2.A
CY266503,3c2.A
CY266863,3c2.A
CY266415,3c2.A
CY266831,3c2.A
CY266655,3c2.A
CY266647,3c2.A
CY242278,3c2.A
CY243885,3c2.A
CY223101,3c2.A
CY216041,3c2.A
CY227318,3c2.A
CY242038,3c2.A
MG914259,3c2.A
MG914155,3c2.A
CY243503,3c2.A
CY244056,3c2.A
MG279246,3c2.A
CY234929,3c2.A
CY234968,3c2.A
CY240079,3c2.A
CY247134,3c2.A
CY266703,3c2.A
CY266367,3c2.A
CY266471,3c2.A
CY226671,3c2.A
CY255433,3c2.A
MG431374,3c2.A
MG431371,3c2.A
MG431372,3c2.A
MG431385,3c2.A
MF599428,3c2.A
MF599426,3c2.A
MF599423,3c2.A
MG431387,3c2.A
MF599430,3c2.A
MF599429,3c2.A
MG431388,3c2.A
MG431380,3c2.A
MF599431,3c2.A
MG431389,3c2.A
MF599425,3c2.A
MG431383,3c2.A
MF599419,3c2.A
MF599422,3c2.A
MF599432,3c2.A
MG431375,3c2.A
MF599420,3c2.A
KY116222,3c2.A
CY243928,3c2.A
CY227598,3c2.A
CY221902,3c2.A
CY223125,3c2.A
CY223934,3c2.A
CY244233,3c2.A
CY243895,3c2.A
MF182521,3c2.A
CY210496,3c2.A
CY227422,3c2.A
CY213114,3c2.A
CY218198,3c2.A
CY221854,3c2.A
CY244251,3c2.A
CY214346,3c2.A
CY220479,3c2.A
KY115878,3c2.A
CY212033,3c2.A
CY235456,3c2.A
CY219201,3c2.A
KY289497,3c2.A
CY231132,3c2.A
MG984158,3c2.A
MG984505,3c2.A
MG984305,3c2.A
MG984425,3c2.A
MG984128,3c2.A
MG984353,3c2.A
MG984489,3c2.A
MH131222,3c2.A
MH083124,3c2.A
MH393254,3c2.A
CY258348,3c2.A
CY265205,3c2.A
CY260985,3c2.A
CY243694,3c2.A
CY245054,3c2.A
MH601554,3c2.A
CY255789,3c2.A
MG198920,3c2.A
MH393252,3c2.A
CY260356,3c2.A
CY256181,3c2.A
MH294882,3c2.A
MH294726,3c2.A
CY263200,3c2.A
MH601850,3c2.A
CY265149,3c2.A
CY257989,3c2.A
MH127113,3c2.A
CY256125,3c2.A
CY244729,3c2.A
CY256117,3c2.A
CY255877,3c2.A
CY247182,3c2.A
CY258436,3c2.A
CY239992,3c2.A
CY250675,3c2.A
CY244721,3c2.A
CY246982,3c2.A
CY243758,3c2.A
CY261439,3c2.A
MH586036,3c2.A
CY250651,3c2.A
MH294727,3c2.A
CY255885,3c2.A
CY261431,3c2.A
CY264561,3c2.A
CY245398,3c2.A
CY258084,3c2.A
CY249979,3c2.A
MH127021,3c2.A
MH701396,3c2.A
CY260889,3c2.A
MH246802,3c2.A
CY250115,3c2.A
CY240031,3c2.A
CY249835,3c2.A
CY257765,3c2.A
CY260747,3c2.A
MG066690,3c2.A
CY234874,3c2.A
CY214594,3c2.A
CY227118,3c2.A
CY222005,3c2.A
CY211898,3c2.A
CY244120,3c2.A
MF182500,3c2.A
MF182499,3c2.A
CY212706,3c2.A
CY214226,3c2.A
CY224014,3c2.A
CY244256,3c2.A
CY238569,3c2.A
CY234562,3c2.A
CY216473,3c2.A
MF182496,3c2.A
CY234810,3c2.A
CY232578,3c2.A
CY228781,3c2.A
CY230602,3c2.A
CY216193,3c2.A
CY244155,3c2.A
CY230277,3c2.A
CY244169,3c2.A
CY244156,3c2.A
CY244390,3c2.A
CY244222,3c2.A
CY244005,3c2.A
CY244229,3c2.A
CY234991,3c2.A
CY243944,3c2.A
CY234466,3c2.A
CY224094,3c2.A
CY214426,3c2.A
CY226759,3c2.A
CY232356,3c2.A
CY234490,3c2.A
CY233432,3c2.A
CY226767,3c2.A
CY228933,3c2.A
CY233448,3c2.A
CY227566,3c2.A
CY234682,3c2.A
CY213234,3c2.A
CY223734,3c2.A
CY232610,3c2.A
CY222853,3c2.A
CY244014,3c2.A
CY226791,3c2.A
CY216121,3c2.A
CY220519,3c2.A
CY226695,3c2.A
CY224838,3c2.A
CY230738,3c2.A
CY223838,3c2.A
CY210727,3c2.A
CY234887,3c2.A
CY244136,3c2.A
CY234920,3c2.A
CY211978,3c2.A
CY210306,3c2.A
CY226655,3c2.A
CY226623,3c2.A
CY226567,3c2.A
CY226607,3c2.A
CY230538,3c2.A
CY214818,3c2.A
CY234216,3c2.A
CY211779,3c2.A
KY116182,3c2.A
CY235018,3c2.A
CY259303,3c2.A
CY227526,3c2.A
CY212041,3c2.A
CY244171,3c2.A
CY250547,3c2.A
CY240055,3c2.A
CY222805,3c2.A
CY228805,3c2.A
KY289450,3c2.A
CY222965,3c2.A
CY210807,3c2.A
CY216049,3c2.A
CY222917,3c2.A
CY220255,3c2.A
CY243965,3c2.A
CY243901,3c2.A
CY239713,3c2.A
CY210583,3c2.A
CY235840,3c2.A
CY216561,3c2.A
CY216017,3c2.A
CY243947,3c2.A
CY227694,3c2.A
KY435815,3c2.A
CY234936,3c2.A
CY244022,3c2.A
MF182528,3c2.A
MF182527,3c2.A
KY583625,3c2.A
CY244235,3c2.A
CY244048,3c2.A
CY243980,3c2.A
KY949820,3c2.A
KY950005,3c2.A
KY949883,3c2.A
CY235880,3c2.A
CY238561,3c2.A
CY230642,3c2.A
CY228869,3c2.A
CY216481,3c2.A
CY214434,3c2.A
CY223886,3c2.A
KY949900,3c2.A
CY227134,3c2.A
KY950099,3c2.A
MH358630,3c2.A
MH601026,3c2.A
MH600844,3c2.A
CY264353,3c2.A
MH082804,3c2.A
MH600710,3c2.A
MH358662,3c2.A
MH601049,3c2.A
CY261535,3c2.A
CY250107,3c2.A
MH601339,3c2.A
CY258180,3c2.A
MH126585,3c2.A
MH307266,3c2.A
MH127241,3c2.A
CY264870,3c2.A
CY234626,3c2.A
MF673285,3c2.A
MG066682,3c2.A
CY260849,3c2.A
CY256189,3c2.A
MH294839,3c2.A
CY264330,3c2.A
MG974948,3c2.A
MH126625,3c2.A
MH307034,3c2.A
MH127297,3c2.A
MH443532,3c2.A
MH307122,3c2.A
CY256165,3c2.A
CY245286,3c2.A
MH126606,3c2.A
CY258188,3c2.A
CY243471,3c2.A
CY238907,3c2.A
MG914339,3c2.A
MG914227,3c2.A
MG914099,3c2.A
CY264481,3c2.A
MH601769,3c2.A
MH701140,3c2.A
CY264092,3c2.A
CY256037,3c2.A
CY250091,3c2.A
CY261367,3c2.A
MH294721,3c2.A
MG279230,3c2.A
MF673284,3c2.A
MH294827,3c2.A
MG066684,3c2.A
CY250659,3c2.A
CY263184,3c2.A
CY263176,3c2.A
CY242054,3c2.A
CY247142,3c2.A
CY264409,3c2.A
CY249939,3c2.A
CY245134,3c2.A
MH600641,3c2.A
CY243567,3c2.A
MG830254,3c2.A
CY260511,3c2.A
CY258172,3c2.A
CY244681,3c2.A
MH585838,3c2.A
MH306723,3c2.A
MH306670,3c2.A
MH601410,3c2.A
CY242342,3c2.A
CY245238,3c2.A
CY244894,3c2.A
CY250595,3c2.A
MG984289,3c2.A
MG984162,3c2.A
MG984313,3c2.A
MG279222,3c2.A
CY243935,3c2.A
CY228685,3c2.A
CY230666,3c2.A
CY227214,3c2.A
CY227574,3c2.A
CY244039,3c2.A
MG431377,3c2.A
MG431379,3c2.A
MG431378,3c2.A
MG431376,3c2.A
MG431381,3c2.A
CY244561,3c2.A
MG830948,3c2.A
CY266783,3c2.A
CY266503,3c2.A
CY266863,3c2.A
CY266415,3c2.A
CY266831,3c2.A
CY266655,3c2.A
CY266647,3c2.A
CY242278,3c2.A
CY243885,3c2.A
CY223101,3c2.A
CY216041,3c2.A
CY227318,3c2.A
CY242038,3c2.A
MG914259,3c2.A
MG914155,3c2.A
CY243503,3c2.A
CY244056,3c2.A
MG279246,3c2.A
CY234929,3c2.A
CY234968,3c2.A
CY240079,3c2.A
CY247134,3c2.A
CY266703,3c2.A
CY266367,3c2.A
CY266471,3c2.A
CY226671,3c2.A
CY255433,3c2.A
MG431374,3c2.A
MG431371,3c2.A
MG431372,3c2.A
MG431385,3c2.A
MF599428,3c2.A
MF599426,3c2.A
MF599423,3c2.A
MG431387,3c2.A
MF599430,3c2.A
MF599429,3c2.A
MG431388,3c2.A
MG431380,3c2.A
MF599431,3c2.A
MG431389,3c2.A
MF599425,3c2.A
MG431383,3c2.A
MF599419,3c2.A
MF599422,3c2.A
MF599432,3c2.A
MG431375,3c2.A
MF599420,3c2.A
KY116222,3c2.A
CY243928,3c2.A
CY227598,3c2.A
CY221902,3c2.A
CY223125,3c2.A
CY223934,3c2.A
CY244233,3c2.A
CY243895,3c2.A
MF182521,3c2.A
CY210496,3c2.A
CY227422,3c2.A
CY213114,3c2.A
CY218198,3c2.A
CY221854,3c2.A
CY244251,3c2.A
CY214346,3c2.A
CY220479,3c2.A
KY115878,3c2.A
CY212033,3c2.A
CY235456,3c2.A
CY219201,3c2.A
KY289497,3c2.A
CY231132,3c2.A
MG984158,3c2.A
MG984505,3c2.A
MG984305,3c2.A
MG984425,3c2.A
MG984128,3c2.A
MG984353,3c2.A
MG984489,3c2.A
MH131222,3c2.A
