"","D_Lab","Date"
"579","CY129694","2010/02/24"
"12915","CY129499","2010/01/18"
"6859","CY065888","2009/12/07"
"541","CY066615","2009/12/15"
"8248","CY072246","2009/11/23"
"524","CY062899","2009/12/20"
"546","CY072374","2009/12/25"
"5462","CY071247","2009/11/24"
"9488","CY107425","2009/12/20"
"11090","CY063051","2009/12/15"
"6682","CY069218","2009/11/30"
"2969","HQ228134","2009/11/08"
"2953","HQ228107","2009/10/27"
"2621","CY070484","2009/10/09"
"9441","CY070567","2009/11/07"
"9433","CY070480","2009/10/12"
"2630","CY070475","2009/10/09"
"2802","CY070575","2009/11/13"
"2856","LN846367","2009/12/30"
"2410","CY070659","2009/12/19"
"9483","CY107375","2009/10/20"
"9479","CY107314","2009/11/10"
"2684","CY070609","2009/11/13"
"9452","CY070604","2009/11/17"
"2693","LN846550","2009/12/08"
"2593","CY070396","2009/09/22"
"2636","CY070499","2009/10/15"
"2608","CY070419","2009/09/22"
"2600","CY070403","2009/09/24"
"9448","CY070586","2009/11/14"
"9499","CY107520","2009/10/20"
"226","GU576540","2009/12/31"
"527","CY062923","2009/12/26"
"530","CY067071","2009/12/13"
"807","CY083729","2009/11/26"
"564","CY075067","2010/01/06"
"2875","KF860846","2010/01/29"
"5444","CY062675","2009/11/13"
"14","CY067047","2009/11/22"
"559","CY069186","2009/12/26"
"566","CY071167","2010/01/21"
"2851","HM568072","2009/10/12"
"2746","CY070735","2009/12/31"
"2438","HM568080","2009/10/28"
"5448","CY062771","2009/12/04"
"5459","CY069130","2009/11/26"
"3253","CY072238","2009/11/30"
"2865","LN867676","2010/03/18"
"514","CY062715","2009/12/13"
"5457","CY069114","2009/11/17"
"520","CY062843","2009/12/30"
"2348","LN867423","2010/03/18"
"545","CY072358","2009/12/20"
"5447","CY062763","2009/12/02"
"219","GU576542","2010/01/09"
"2755","CY070371","2009/09/02"
"2741","CY070666","2009/12/12"
"9528","CY107389","2009/11/02"
"2833","CY070628","2009/11/25"
"1761","KF860845","2009/11/14"
"5038","KC780235","2010/01/14"
"2664","CY070600","2009/11/21"
"2617","CY070462","2009/10/08"
"5451","CY063035","2009/12/30"
"11088","CY062955","2009/12/24"
"5460","CY069138","2009/11/30"
"5454","CY066847","2009/11/13"
"10148","CY123218","2009/10/14"
"1740","KY924993","2009/09/10"
"10029","CY122771","2009/07/08"
"7557","CY056507","2009/10/13"
"7550","CY056475","2009/10/05"
"2412","CY070658","2009/12/15"
"11031","KC782176","2009/10/10"
"886","CY075500","2009/10/18"
"12080","CY066703","2009/11/19"
"7645","CY056811","2009/11/30"
"8456","KM213269","2010/01/09"
"5589","CY072662","2009/08/11"
"5603","CY072926","2009/08/31"
"10359","CY123657","2009/09/01"
"6850","CY065816","2009/11/05"
"2853","HM568088","2009/10/21"
"5445","CY062747","2009/11/19"
"5453","CY067643","2009/11/12"
"5446","CY083737","2009/11/20"
"12082","CY067183","2009/11/25"
"13017","HM189359","2009/08/25"
"12914","CY071119","2009/12/25"
"6842","CY065848","2009/11/10"
"6838","CY065123","2009/09/01"
"6851","CY065800","2009/11/23"
"758","CY064780","2009/12/29"
"2662","CY070565","2009/11/04"
"11086","CY062939","2009/12/16"
"2925","HQ228062","2009/07/21"
"2764","CY070389","2009/09/18"
"2750","CY070366","2009/09/01"
"3499","KC620386","2009/07/21"
"6744","AB535745","2009/10/09"
"6743","AB535744","2009/10/09"
"10275","JX309130","2010/01/12"
"1647","CY054979","2009/07/14"
"2758","CY070381","2009/09/09"
"224","GU576502","2009/07/17"
"8284","KC780683","2009/10/22"
"6919","KC781977","2009/12/03"
"228","GU576517","2009/08/19"
"231","GU576524","2009/09/10"
"9190","CY073326","2009/06/12"
"229","GU576519","2009/08/21"
"4049","GQ351314","2009/06/11"
"230","GU576522","2009/08/31"
"1686","CY071466","2009/08/08"
"1217","GQ457514","2009/06/15"
"2819","CY057066","2009/10/29"
"4651","KC782105","2009/09/08"
"6738","AB530488","2009/08/20"
"8820","HM189382","2009/08/13"
"4938","HM189365","2009/09/25"
"6907","KC781813","2009/09/10"
"1621","CY054851","2009/07/01"
"9752","JQ065120","2009/07/23"
"919","CY089339","2009/11/18"
"13013","AB704518","2009/12/02"
"9751","JQ065166","2009/10/22"
"12416","KC781870","2009/09/20"
"12389","KC782036","2009/07/21"
"11303","CY052631","2009/09/06"
"5539","CY119474","2009/08/29"
"5455","CY066655","2009/11/24"
"12083","CY069242","2009/12/22"
"12829","CY058476","2009/12/15"
"9577","AB558322","2009/09/18"
"8809","CY066751","2009/11/10"
"3061","KC781829","2009/09/16"
"6412","KC781594","2009/09/04"
"12832","CY057358","2009/09/11"
"12827","CY057003","2009/09/08"
"11299","CY052607","2009/09/03"
"12664","CY057910","2009/11/23"
"2540","CY065158","2009/06/23"
"9135","CY075480","2009/08/13"
"2920","HQ228056","2009/07/15"
"4252","KC782147","2009/10/01"
"9026","JQ431221","2009/08/24"
"2625","CY070473","2009/10/12"
"2718","CY070251","2009/07/03"
"2801","CY070573","2009/11/13"
"664","KR861661","2009/12/19"
"2566","CY070277","2009/07/05"
"2726","CY070292","2009/07/22"
"10093","CY122987","2009/08/16"
"3605","CY058826","2009/11/21"
"3583","CY120917","2009/11/29"
"2117","KC780350","2010/02/11"
"9712","JQ065134","2009/08/31"
"10344","CY123524","2009/08/19"
"8213","CY046952","2009/06/28"
"5931","KC261319","2009/11/06"
"5925","CY100501","2009/11/30"
"5924","CY100493","2009/11/25"
"5923","CY100488","2009/11/19"
"9091","KF700935","2009/07/30"
"9269","KY925327","2009/08/15"
"10060","CY122872","2009/07/29"
"7517","CY051655","2009/07/24"
"9572","AB558317","2009/09/16"
"9598","AB558347","2009/10/21"
"2516","CY070731","2009/06/06"
"13078","CY095992","2009/10/12"
"9963","KT181149","2009/08/27"
"10373","CY123736","2009/09/11"
"10361","CY123675","2009/09/03"
"10125","CY123169","2009/09/10"
"528","CY083768","2009/12/10"
"519","CY062835","2009/12/30"
"544","CY072350","2009/12/13"
"525","CY062907","2009/12/21"
"11510","CY060867","2009/11/07"
"562","CY071135","2010/01/13"
"535","CY067119","2009/12/13"
"531","CY067079","2009/12/13"
"11844","KJ690542","2009/10/05"
"11841","KJ690400","2009/09/23"
"5431","MN250973","2009/11/24"
"11843","KJ690479","2009/09/28"
"11845","KJ690456","2009/10/19"
"816","CY083080","2009/10/06"
"7114","CY083208","2009/07/21"
"2609","CY070421","2009/09/30"
"805","HM173599","2009/11/12"
"10149","CY123223","2009/10/16"
"4079","CY111771","2009/07/15"
"4077","JN256817","2009/07/15"
"4080","JN256819","2009/07/18"
"4081","CY111787","2009/07/18"
"12081","CY066711","2009/11/24"
"4078","JN256818","2009/07/15"
"9687","JQ065125","2009/08/31"
"9667","JQ065177","2009/10/22"
"9681","JQ065124","2009/08/31"
"9737","JQ065116","2009/07/23"
"13070","CY095935","2009/10/11"
"4136","CY064397","2009/11/03"
"13073","CY095955","2009/10/11"
"9722","JQ065145","2009/09/08"
"3608","CY058830","2009/11/18"
"9728","JQ065152","2009/09/08"
"12479","CY064404","2009/11/12"
"4918","HQ168410","2009/11/25"
"9755","JQ065167","2009/10/22"
"9745","JQ065162","2009/10/22"
"9690","JQ065126","2009/08/31"
"9724","JQ065148","2009/09/08"
"3645","CY120952","2009/07/16"
"9758","JQ065170","2009/10/22"
"9673","JQ065182","2009/10/22"
"9761","JQ065173","2009/10/22"
"4916","GU057028","2009/08/16"
"4917","GU057030","2009/08/16"
"4915","GU057027","2009/08/16"
"4913","GU057022","2009/08/16"
"4914","GU057023","2009/08/16"
"9709","JQ065131","2009/08/31"
"4074","CY120205","2009/07/13"
"4073","JN256815","2009/07/13"
"9168","CY083661","2009/11/02"
"8817","CY056164","2009/11/09"
"11644","CY074990","2009/09/02"
"12751","CY058332","2009/11/16"
"617","CY055860","2009/08/03"
"10026","CY122703","2009/07/08"
"4096","CY111947","2009/07/30"
"2838","CY070650","2009/12/11"
"8226","CY052005","2009/09/09"
"2401","CY070408","2009/09/27"
"10082","CY049691","2009/08/06"
"619","CY055534","2009/07/18"
"606","CY055724","2009/07/24"
"552","CY072422","2009/12/30"
"614","CY055836","2009/08/02"
"2936","HQ228078","2009/07/20"
"4095","JN256839","2009/07/30"
"10781","KC190043","2009/11/26"
"10782","KC190044","2009/12/01"
"9717","JQ065140","2009/08/31"
"9713","JQ065135","2009/08/31"
"1704","JN588778","2009/07/07"
"8908","CY075922","2009/07/21"
"4658","KC780981","2009/10/26"
"4654","KC780845","2009/10/02"
"3500","GU014748","2009/07/07"
"4630","KC782014","2010/01/05"
"612","CY055828","2009/08/02"
"6849","CY065920","2009/09/30"
"605","CY055067","2009/07/17"
"609","CY055796","2009/08/16"
"4627","HM998844","2009/07/27"
"592","CY055526","2009/07/16"
"621","CY055542","2009/07/20"
"602","CY055692","2009/07/24"
"607","CY055740","2009/07/26"
"608","CY055756","2009/07/27"
"3549","CY071015","2009/09/14"
"558","CY072486","2009/12/18"
"522","CY062875","2009/12/19"
"557","CY072470","2009/12/17"
"598","CY055605","2009/07/21"
"603","CY055700","2009/07/24"
"10342","CY123517","2009/08/17"
"10360","CY123667","2009/09/02"
"10390","CY123802","2009/10/09"
"10392","CY123809","2009/10/20"
"11832","HM189368","2009/11/26"
"10787","JF340083","2010/01/25"
"13018","HM157254","2009/12/04"
"4068","CY111683","2009/07/11"
"597","CY092185","2009/07/21"
"600","CY055637","2009/07/22"
"604","CY055716","2009/07/24"
"9200","CY083415","2009/10/01"
"4067","JN256806","2009/07/11"
"618","CY055876","2009/08/04"
"620","CY055924","2009/08/26"
"613","CY055075","2009/07/18"
"12663","CY057838","2009/11/15"
"10132","CY123181","2009/09/18"
"1052","CY066983","2009/11/09"
"918","CY089323","2009/11/17"
"1775","CY075913","2009/06/27"
"1716","JN588793","2010/02/09"
"12120","CY128307","2009/10/29"
"9996","KT181189","2009/09/18"
"12117","CY128283","2009/10/18"
"12283","CY072262","2009/12/02"
"186","KC780781","2009/12/04"
"11530","CY061011","2009/12/08"
"12279","CY062827","2009/12/03"
"12289","CY072310","2009/12/08"
"9640","HM776031","2009/10/06"
"2102","CY060496","2009/12/16"
"1713","JN588789","2010/01/04"
"1715","JN588791","2010/02/24"
"12111","CY128219","2009/09/04"
"12126","CY128355","2009/11/18"
"12114","CY128259","2009/10/08"
"12110","CY128211","2009/09/03"
"9123","CY054654","2009/11/01"
"1677","CY063091","2009/10/17"
"6476","KC780809","2009/09/10"
"6482","KC780480","2009/11/05"
"12674","CY057854","2009/11/15"
"1690","CY071506","2009/08/10"
"7166","KC781975","2009/10/23"
"6321","KC780156","2009/09/25"
"1273","KC780640","2009/10/05"
"7980","GU014766","2009/07/07"
"9342","HQ595272","2009/08/28"
"5995","CY147875","2009/04/27"
"12848","CY051471","2009/06/24"
"12709","CY046387","2009/04/30"
"12703","CY046811","2009/05/27"
"12710","CY050412","2009/05/19"
"12787","CY046291","2009/05/01"
"12678","CY050975","2009/06/02"
"12846","CY051455","2009/06/18"
"5958","CY062498","2009/07/06"
"5959","CY062511","2009/08/25"
"12792","CY050935","2009/05/29"
"12720","CY051119","2009/06/14"
"1036","CY053174","2009/05/20"
"1038","CY053190","2009/05/21"
"12844","CY051423","2009/06/15"
"5901","CY050230","2009/05/09"
"12777","CY046371","2009/05/03"
"5904","CY050246","2009/05/09"
"6547","JN171928","2009/07/06"
"6544","JN171924","2009/06/22"
"6546","JN171925","2009/06/23"
"6551","JN171915","2009/06/11"
"6554","JN171919","2009/06/17"
"6553","JN171918","2009/06/16"
"6543","JN171921","2009/06/21"
"9000","JN171883","2009/06/25"
"12746","CY050380","2009/05/15"
"10417","CY049364","2009/06/19"
"10424","CY049316","2009/06/25"
"10457","CY049284","2009/07/06"
"11626","CY075702","2009/07/06"
"9197","CY083351","2009/07/18"
"6105","KC781324","2009/09/26"
"12030","KY925216","2009/08/13"
"7483","CY044120","2009/06/17"
"831","CY063486","2009/06/11"
"844","CY064660","2009/06/18"
"839","CY064596","2009/06/22"
"2517","CY070732","2009/06/07"
"833","CY064500","2009/06/13"
"7399","CY043123","2009/05/08"
"7396","CY041822","2009/05/06"
"7393","CY043203","2009/05/04"
"11329","CY052447","2009/09/13"
"11321","CY052535","2009/09/11"
"11300","CY052863","2009/09/04"
"8839","CY103934","2009/09/24"
"841","CY064604","2009/06/21"
"10585","KC781229","2009/10/08"
"11289","CY052226","2009/08/30"
"5376","KC780937","2009/10/21"
"11503","CY072157","2009/09/06"
"11396","KC780192","2009/09/09"
"11408","KC782185","2009/09/18"
"11994","KC780961","2009/10/29"
"11986","KC780652","2009/11/01"
"11341","CY058700","2009/10/19"
"828","CY064468","2009/06/15"
"12727","CY057958","2009/11/27"
"9811","KF667892","2009/07/31"
"9806","KF667887","2009/07/29"
"6812","KC781477","2009/09/08"
"9345","HQ595276","2009/08/29"
"9100","KC967084","2009/07/26"
"8836","CY103931","2009/09/18"
"6336","KC780463","2009/12/16"
"6316","KC780127","2009/09/21"
"7263","KC780377","2009/10/04"
"9205","CY073033","2009/11/06"
"9797","CY073262","2009/06/18"
"9796","CY044187","2009/06/18"
"9798","CY073278","2009/06/18"
"9348","HQ595283","2009/09/24"
"9313","HQ595241","2009/07/30"
"12060","KC781494","2009/08/10"
"9096","CY054279","2009/07/23"
"8831","CY103925","2009/08/30"
"9339","HQ595265","2009/08/28"
"11763","CY054613","2009/07/21"
